Datum-Stunde;Lufttemp.+200cm;Lufttemp.+20cm;Bodentemp.-5cm;Bodentemp.-20cm;Luftfeuchtigkeit+200cm;Windgeschw.+250cm;Niederschlag;Globalstrahlg.+200cm
10.01.2009;-4,8;;;0,0;89;0,9;0,0;;
11.01.2009;-6,5;;;0,0;85;0,6;0,0;;
12.01.2009;-7,5;;;0,0;82;2,9;0,0;;
13.01.2009;-7,1;;;0,0;81;3,6;0,0;;
16.01.2009;0,4;;;0,0;93;0,4;0,0;;
17.01.2009;-1,3;;;0,0;93;0,6;0,1;;
18.01.2009;1,6;;;0,0;92;0,8;1,5;;
19.01.2009;3,5;;;0,0;81;2,0;0,5;;
20.01.2009;2,9;;;0,0;93;0,5;0,3;;
21.01.2009;0,4;;;0,0;100;0,0;2,5;;
22.01.2009;1,2;;;0,0;88;0,5;1,4;;
23.01.2009;1,0;;;0,0;89;2,3;0,0;;
24.01.2009;4,4;;;0,0;76;1,3;0,0;;
25.01.2009;2,0;;;0,0;92;0,0;0,0;;
26.01.2009;-0,8;;;0,0;97;0,0;0,1;;
27.01.2009;-0,2;;;0,0;100;0,0;0,0;;
06.02.2009;1,6;;;0,0;92;2,0;0,0;;
07.02.2009;4,8;;;0,0;89;1,0;0,0;;
08.02.2009;2,3;;;0,0;87;0,4;0,1;;
09.02.2009;1,8;;;0,0;73;0,3;0,0;;
10.02.2009;3,2;;;0,0;81;2,6;1,4;;
11.02.2009;0,7;;;0,0;91;2,3;0,3;;
12.02.2009;-1,0;;;0,0;82;0,5;0,1;;
13.02.2009;-1,6;;;0,0;78;0,4;0,2;;
14.02.2009;-2,9;;;0,0;91;0,6;0,0;;
15.02.2009;-2,0;;;0,0;81;1,7;0,0;;
16.02.2009;0,3;;;0,0;95;1,2;6,0;;
17.02.2009;-1,6;;;0,0;89;0,2;3,6;;
18.02.2009;-3,0;;;0,0;91;0,3;0,0;;
19.02.2009;-2,8;;;0,0;81;0,9;0,1;;
