Datum-Stunde;Lufttemp.+200cm;Lufttemp.+20cm;Bodentemp.-5cm;Bodentemp.-20cm;Luftfeuchtigkeit+200cm;Windgeschw.+250cm;Niederschlag;Globalstrahlg.+200cm
01.01.2009;-3,9;;;1,7;91;;0,0;14;
02.01.2009;-1,7;;;1,5;95;;0,4;19;
03.01.2009;-4,5;;;1,4;80;;0,0;35;
04.01.2009;0,4;;;1,4;93;;2,4;15;
05.01.2009;-3,0;;;1,4;92;;0,8;13;
06.01.2009;-14,7;;;1,4;94;;0,0;23;
07.01.2009;-18,5;;;1,3;94;;0,0;9;
08.01.2009;-5,7;;;1,3;91;;0,0;29;
09.01.2009;-8,2;;;1,2;90;;0,0;42;
10.01.2009;-4,0;;;1,2;85;;0,0;43;
11.01.2009;-4,3;;;1,1;89;;0,0;6;
16.01.2009;0,9;;;0,9;91;;0,0;50;
17.01.2009;-0,4;;;0,9;89;;1,2;38;
18.01.2009;2,3;;;1,0;92;;1,8;41;
19.01.2009;4,1;;;1,0;79;;0,0;51;
20.01.2009;3,5;;;1,0;90;;0,2;26;
21.01.2009;0,1;;;1,0;100;;3,6;18;
22.01.2009;0,9;;;1,1;90;;0,0;66;
23.01.2009;2,1;;;1,1;85;;0,0;36;
24.01.2009;4,8;;;1,2;76;;0,0;50;
25.01.2009;1,4;;;1,3;96;;0,0;33;
26.01.2009;-2,7;;;1,3;100;;0,0;7;
06.02.2009;2,8;;;1,8;88;;0,0;80;
07.02.2009;5,6;;;2,2;86;;0,0;84;
08.02.2009;3,3;;;2,6;82;;0,0;36;
09.02.2009;2,0;;;2,3;73;;0,0;56;
10.02.2009;4,2;;;2,1;78;;1,2;45;
11.02.2009;1,6;;;2,3;87;;1,4;28;
12.02.2009;-0,1;;;2,0;79;;0,0;51;
13.02.2009;-0,4;;;1,8;74;;0,0;81;
14.02.2009;-1,9;;;1,6;87;;0,0;31;
15.02.2009;-0,9;;;1,4;77;;0,0;46;
16.02.2009;1,0;;;1,3;96;;4,2;21;
17.02.2009;-0,6;;;1,3;84;;2,2;91;
18.02.2009;-1,9;;;1,3;86;;0,0;36;
19.02.2009;-1,3;;;1,2;76;;0,0;60;
20.02.2009;1,4;;;1,3;97;;4,4;27;
21.02.2009;0,7;;;1,3;98;;1,6;27;
22.02.2009;2,6;;;1,5;97;;2,0;23;
23.02.2009;3,3;;;1,9;94;;4,2;38;
24.02.2009;1,7;;;2,1;100;;0,0;22;
25.02.2009;4,0;;;2,3;81;;0,0;89;
26.02.2009;5,5;;;3,0;81;;0,4;50;
27.02.2009;6,0;;;3,4;86;;5,2;67;
28.02.2009;6,0;;;4,0;99;;3,2;35;
01.03.2009;7,2;;;4,5;89;;0,0;96;
02.03.2009;5,2;;;5,1;90;;0,0;7;
05.04.2009;13,4;;;10,1;78;;0,0;129;
06.04.2009;12,5;;;10,0;80;;0,0;128;
07.04.2009;15,8;;;10,3;67;;0,0;191;
08.04.2009;12,7;;;10,7;73;;0,0;193;
25.04.2009;14,7;;;12,2;59;;0,0;266;
26.04.2009;17,6;;;12,8;49;;0,0;221;
27.04.2009;19,6;;;13,5;45;;0,0;259;
28.04.2009;19,0;;;14,2;47;;0,0;220;
29.04.2009;14,1;;;13,9;77;;0,0;136;
30.04.2009;15,3;;;13,5;77;;0,0;208;
01.05.2009;17,3;;;14,1;66;;0,0;231;
02.05.2009;14,9;;;14,2;58;;0,0;275;
03.05.2009;16,3;;;14,3;55;;0,0;276;
04.05.2009;11,3;;;14,4;73;;2,2;129;
05.05.2009;10,0;;;13,1;73;;0,0;102;
06.05.2009;12,8;;;12,8;83;;1,8;87;
07.05.2009;16,1;;;13,2;70;;0,0;200;
08.05.2009;17,5;;;13,8;69;;0,0;184;
09.05.2009;16,7;;;14,4;59;;0,0;244;
10.05.2009;16,4;;;14,7;73;;0,4;133;
11.05.2009;11,9;;;14,1;96;;6,2;48;
12.05.2009;10,0;;;13,8;100;;0,0;9;
14.05.2009;13,8;;;14,3;55;;0,0;263;
15.05.2009;15,8;;;14,7;67;;0,0;268;
16.05.2009;15,6;;;15,2;74;;5,6;167;
17.05.2009;18,0;;;15,2;64;;0,0;289;
18.05.2009;19,3;;;16,1;69;;0,0;199;
19.05.2009;19,0;;;16,5;65;;0,2;233;
20.05.2009;19,9;;;16,7;62;;0,0;268;
21.05.2009;20,9;;;17,1;70;;3,8;172;
22.05.2009;15,7;;;16,9;80;;7,2;108;
23.05.2009;15,6;;;16,3;64;;0,0;282;
24.05.2009;20,5;;;16,8;58;;0,0;289;
25.05.2009;21,0;;;17,9;59;;0,0;302;
26.05.2009;21,6;;;18,3;73;;16,8;191;
27.05.2009;15,6;;;18,1;67;;8,8;264;
28.05.2009;14,3;;;17,3;64;;5,4;111;
29.05.2009;11,4;;;15,8;81;;7,4;87;
30.05.2009;11,7;;;15,1;96;;1,8;46;
31.05.2009;14,1;;;14,9;90;;3,4;110;
01.06.2009;17,3;;;15,9;74;;1,4;242;
02.06.2009;19,1;;;17,0;70;;0,0;236;
03.06.2009;13,4;;;17,0;61;;0,0;122;
04.06.2009;12,1;;;15,9;60;;0,0;182;
05.06.2009;11,4;;;15,5;68;;0,2;172;
06.06.2009;11,2;;;15,0;83;;3,6;136;
07.06.2009;15,9;;;15,2;73;;0,0;253;
08.06.2009;17,8;;;16,2;62;;0,0;223;
09.06.2009;17,2;;;16,5;80;;9,2;167;
