Datum-Stunde;Lufttemp.+200cm;Lufttemp.+20cm;Bodentemp.-5cm;Bodentemp.-20cm;Luftfeuchtigkeit+200cm;Windgeschw.+250cm;Niederschlag;Globalstrahlg.+200cm
01.01.2009;-5,3;;;-0,4;96;;0,0;;
02.01.2009;-3,3;;;-0,6;98;;0,0;;
03.01.2009;-5,3;;;-0,6;78;;0,8;;
04.01.2009;-0,8;;;-0,7;95;;0,0;;
05.01.2009;-4,6;;;-0,7;98;;0,0;;
06.01.2009;-16,1;;;-0,7;93;;0,0;;
07.01.2009;-11,0;;;-0,7;91;;0,0;;
08.01.2009;-6,3;;;-0,7;93;;0,0;;
09.01.2009;-8,3;;;-0,7;91;;0,0;;
10.01.2009;-5,5;;;-0,7;90;;0,0;;
11.01.2009;-6,5;;;-0,8;86;;0,0;;
12.01.2009;-8,3;;;-0,8;86;;0,0;;
13.01.2009;-7,3;;;-0,9;86;;0,0;;
14.01.2009;-7,0;;;-0,9;89;;0,0;;
15.01.2009;-5,6;;;-0,9;99;;0,0;;
16.01.2009;-0,1;;;-0,9;93;;2,0;;
17.01.2009;-1,9;;;-0,9;94;;0,0;;
18.01.2009;1,1;;;-0,8;93;;1,6;;
19.01.2009;3,1;;;-0,8;81;;0,0;;
20.01.2009;2,3;;;-0,8;94;;2,2;;
21.01.2009;0,3;;;-0,8;100;;1,0;;
22.01.2009;0,2;;;-0,8;92;;3,2;;
23.01.2009;0,9;;;-0,8;90;;0,6;;
24.01.2009;4,0;;;-0,7;75;;0,0;;
25.01.2009;1,8;;;-0,7;92;;0,2;;
26.01.2009;-0,9;;;-0,7;97;;0,2;;
27.01.2009;-0,7;;;-0,8;100;;0,0;;
06.02.2009;1,4;;;-0,6;95;;0,0;;
07.02.2009;4,8;;;-0,2;90;;0,0;;
08.02.2009;1,8;;;0,3;87;;0,6;;
09.02.2009;1,5;;;0,1;72;;0,0;;
10.02.2009;2,5;;;0,0;83;;2,6;;
11.02.2009;0,2;;;0,1;91;;0,0;;
12.02.2009;-1,6;;;-0,2;83;;0,0;;
13.02.2009;-2,3;;;-0,3;79;;0,0;;
14.02.2009;-3,7;;;-0,5;93;;0,0;;
15.02.2009;-2,3;;;-0,6;81;;0,0;;
16.02.2009;-0,4;;;-0,7;99;;2,6;;
17.02.2009;-2,3;;;-0,7;90;;2,4;;
18.02.2009;-3,7;;;-0,7;92;;0,0;;
19.02.2009;-3,1;;;-0,7;82;;0,0;;
20.02.2009;-0,1;;;-0,7;99;;8,6;;
21.02.2009;-0,4;;;-0,7;98;;2,8;;
22.02.2009;1,8;;;-0,7;98;;17,2;;
23.02.2009;1,9;;;-0,6;97;;3,6;;
24.02.2009;0,2;;;-0,7;100;;1,6;;
25.02.2009;2,7;;;-0,6;84;;1,2;;
26.02.2009;3,9;;;-0,5;86;;3,4;;
27.02.2009;4,2;;;-0,1;90;;9,6;;
28.02.2009;4,6;;;0,7;100;;7,2;;
01.03.2009;5,5;;;1,4;94;;0,0;;
02.03.2009;6,0;;;2,0;90;;0,2;;
03.03.2009;5,5;;;2,4;86;;0,0;;
04.03.2009;5,8;;;2,5;88;;0,2;;
05.03.2009;8,8;;;2,8;83;;1,6;;
06.03.2009;6,2;;;3,3;98;;1,0;;
07.03.2009;3,4;;;3,1;97;;1,0;;
08.03.2009;4,4;;;2,4;88;;2,8;;
