Datum-Stunde;Lufttemp.+200cm;Lufttemp.+20cm;Bodentemp.-5cm;Bodentemp.-20cm;Luftfeuchtigkeit+200cm;Windgeschw.+250cm;Niederschlag;Globalstrahlg.+200cm
01.01.2009;-4,5;;;1,7;97;;0,0;;
02.01.2009;-2,5;;;1,7;99;;0,0;;
03.01.2009;-5,6;;;1,7;87;;0,0;;
04.01.2009;-0,7;;;1,8;99;;2,8;;
05.01.2009;-4,9;;;1,8;98;;1,6;;
06.01.2009;-18,3;;;1,7;93;;0,0;;
07.01.2009;-11,2;;;1,7;93;;0,0;;
08.01.2009;-7,4;;;1,7;96;;0,0;;
09.01.2009;-8,7;;;1,7;87;;0,0;;
10.01.2009;-4,5;;;1,6;91;;0,0;;
11.01.2009;-7,3;;;1,5;89;;0,0;;
12.01.2009;-8,0;;;1,5;84;;0,0;;
13.01.2009;-6,2;;;1,5;81;;0,0;;
14.01.2009;-7,8;;;1,5;87;;0,0;;
16.01.2009;-0,5;;;1,5;96;;0,0;;
17.01.2009;1,2;;;1,5;91;;0,2;;
18.01.2009;3,7;;;1,6;89;;2,0;;
19.01.2009;3,7;;;1,6;83;;0,0;;
20.01.2009;3,8;;;1,7;90;;0,0;;
21.01.2009;0,5;;;1,7;99;;0,4;;
22.01.2009;0,5;;;1,7;89;;0,0;;
23.01.2009;1,0;;;1,6;89;;0,0;;
24.01.2009;3,5;;;1,6;84;;0,0;;
25.01.2009;1,8;;;1,8;96;;0,0;;
26.01.2009;-1,0;;;1,7;100;;0,0;;
27.01.2009;-0,3;;;1,6;100;;0,0;;
06.02.2009;1,6;;;1,4;95;;0,0;;
07.02.2009;3,0;;;1,4;95;;0,0;;
08.02.2009;1,8;;;1,6;91;;0,0;;
09.02.2009;1,5;;;1,7;78;;0,0;;
10.02.2009;3,9;;;1,7;86;;0,0;;
11.02.2009;0,3;;;2,0;97;;0,2;;
12.02.2009;-1,5;;;2,0;89;;0,0;;
13.02.2009;-1,8;;;1,9;86;;0,0;;
14.02.2009;-3,0;;;1,8;95;;0,0;;
15.02.2009;-2,5;;;1,6;88;;0,0;;
16.02.2009;0,1;;;1,6;100;;1,4;;
17.02.2009;-1,8;;;1,7;92;;0,6;;
18.02.2009;-3,0;;;1,7;92;;0,0;;
