Datum-Stunde;Lufttemp.+200cm;Lufttemp.+20cm;Bodentemp.-5cm;Bodentemp.-20cm;Luftfeuchtigkeit+200cm;Windgeschw.+250cm;Niederschlag;Globalstrahlg.+200cm
03.01.2009;-5,0;;-0,9;;75;0,6;0,0;59;
04.01.2009;-0,1;;-0,4;;92;1,0;4,7;9;
05.01.2009;-3,9;;-0,2;;88;1,0;1,6;4;
06.01.2009;-16,7;;-0,3;;86;0,6;0,0;31;
07.01.2009;-13,5;;-0,4;;84;0,8;0,0;25;
08.01.2009;-5,0;;-0,3;;84;1,6;0,0;44;
09.01.2009;-6,5;;-0,3;;81;3,6;0,0;55;
10.01.2009;-4,3;;-0,1;;81;4,5;0,0;42;
11.01.2009;-4,9;;-0,1;;79;5,5;0,0;52;
12.01.2009;-7,2;;-0,3;;79;7,1;0,0;53;
13.01.2009;-6,0;;-0,3;;78;7,1;0,0;53;
14.01.2009;-6,8;;-0,3;;81;6,6;0,0;0;
16.01.2009;0,4;;-0,1;;89;1,9;0,0;45;
17.01.2009;-0,9;;-0,1;;85;5,0;0,2;25;
18.01.2009;2,1;;0,0;;85;3,9;0,8;36;
19.01.2009;3,4;;0,0;;77;3,0;0,0;46;
20.01.2009;3,5;;0,0;;84;3,1;0,3;18;
21.01.2009;0,0;;0,0;;99;0,5;2,5;9;
22.01.2009;-0,1;;0,0;;89;2,2;0,0;67;
23.01.2009;1,7;;0,0;;82;5,0;0,0;16;
24.01.2009;4,2;;0,1;;74;1,5;0,0;31;
25.01.2009;1,0;;0,1;;93;0,6;0,4;19;
26.01.2009;-1,3;;0,0;;93;0,3;0,0;46;
27.01.2009;0,0;;0,0;;96;0,3;0,0;0;
29.01.2009;0,2;;0,0;;83;1,3;0,0;10;
30.01.2009;-0,1;;0,0;;78;0,8;0,0;14;
31.01.2009;-0,2;;0,0;;85;0,6;0,1;17;
01.02.2009;-1,8;;0,0;;86;0,4;0,0;0;
06.02.2009;2,4;;1,5;;86;4,3;0,0;62;
07.02.2009;5,5;;3,4;;83;2,6;0,0;78;
08.02.2009;2,6;;2,4;;81;1,6;0,1;20;
09.02.2009;1,3;;1,0;;72;1,4;0,0;50;
10.02.2009;3,4;;1,7;;77;3,5;0,4;34;
11.02.2009;1,1;;1,1;;85;3,6;0,9;14;
12.02.2009;-1,0;;0,3;;79;1,7;0,1;39;
13.02.2009;-1,4;;0,1;;74;1,7;0,0;57;
14.02.2009;-3,2;;-0,3;;85;1,8;0,0;20;
15.02.2009;-1,2;;-0,1;;74;2,2;0,0;33;
16.02.2009;0,1;;0,0;;95;0,7;5,7;15;
17.02.2009;-1,4;;0,0;;82;1,5;3,2;98;
18.02.2009;-2,5;;0,0;;84;1,5;0,1;44;
19.02.2009;-2,0;;0,0;;75;1,2;0,0;54;
20.02.2009;0,6;;0,0;;95;0,5;6,5;19;
21.02.2009;0,3;;0,0;;94;0,0;4,0;26;
22.02.2009;2,0;;0,1;;96;0,8;4,7;14;
23.02.2009;2,5;;0,3;;91;2,0;6,8;20;
24.02.2009;1,0;;0,6;;98;1,2;2,7;20;
25.02.2009;2,9;;2,3;;84;0,9;0,1;78;
26.02.2009;5,0;;3,0;;79;1,9;3,4;31;
27.02.2009;5,3;;4,0;;84;2,0;7,1;51;
28.02.2009;5,4;;4,8;;95;1,2;4,5;26;
01.03.2009;6,7;;6,2;;86;3,1;0,0;81;
02.03.2009;6,6;;5,8;;85;2,7;0,6;42;
03.03.2009;6,3;;6,1;;80;0,4;0,0;59;
04.03.2009;6,6;;5,4;;82;3,9;0,3;46;
05.03.2009;9,6;;6,9;;77;2,9;0,7;69;
06.03.2009;7,1;;6,7;;89;1,0;0,8;27;
07.03.2009;4,4;;5,1;;90;2,0;0,8;19;
08.03.2009;4,9;;4,6;;83;0,8;2,0;46;
09.03.2009;5,5;;5,6;;77;1,9;0,8;100;
10.03.2009;4,9;;4,8;;81;1,7;5,6;52;
11.03.2009;4,2;;4,6;;86;1,0;6,2;44;
12.03.2009;4,8;;4,8;;80;1,0;5,9;46;
13.03.2009;6,2;;5,4;;88;1,7;5,4;32;
14.03.2009;8,1;;7,1;;76;0,7;0,0;109;
15.03.2009;7,4;;6,9;;89;1,0;5,1;35;
16.03.2009;7,3;;7,6;;86;0,1;2,8;64;
17.03.2009;7,1;;6,6;;79;2,2;0,2;56;
18.03.2009;5,3;;6,0;;71;2,7;0,0;137;
19.03.2009;4,3;;5,6;;69;1,0;4,4;97;
20.03.2009;1,8;;4,0;;68;0,4;0,0;73;
21.03.2009;3,1;;5,5;;68;0,6;0,0;164;
22.03.2009;4,9;;3,8;;72;2,6;0,3;31;
23.03.2009;6,4;;5,3;;81;3,9;10,1;39;
24.03.2009;2,0;;3,4;;79;2,4;6,7;70;
25.03.2009;2,0;;3,2;;71;0,9;0,1;117;
26.03.2009;5,1;;4,7;;82;0,5;2,0;44;
27.03.2009;8,3;;6,4;;70;1,0;0,2;75;
28.03.2009;7,5;;5,6;;76;1,3;0,6;45;
29.03.2009;7,4;;6,3;;71;0,3;0,0;66;
30.03.2009;5,9;;6,4;;81;0,1;0,0;82;
31.03.2009;6,3;;7,4;;70;0,5;0,0;203;
01.04.2009;7,5;;8,0;;69;0,7;0,0;199;
02.04.2009;9,3;;8,9;;71;1,6;0,0;196;
03.04.2009;8,7;;6,5;;70;1,3;0,0;0;
04.04.2009;14,3;;12,2;;72;0,3;0,0;158;
05.04.2009;11,6;;11,5;;81;0,4;0,0;118;
06.04.2009;11,7;;11,4;;80;0,7;0,0;117;
07.04.2009;15,8;;13,5;;63;1,2;0,0;189;
08.04.2009;13,4;;13,0;;73;0,6;2,6;146;
09.04.2009;13,7;;13,7;;72;0,2;0,0;161;
10.04.2009;15,0;;13,6;;69;1,9;0,0;189;
11.04.2009;14,4;;13,8;;70;1,5;0,0;210;
12.04.2009;12,5;;13,4;;71;1,0;0,0;222;
13.04.2009;12,8;;13,7;;73;1,0;0,0;221;
14.04.2009;14,4;;14,3;;66;0,6;0,0;210;
15.04.2009;14,8;;14,5;;62;0,9;0,0;221;
16.04.2009;14,6;;14,3;;59;2,0;0,0;220;
17.04.2009;10,6;;12,1;;81;0,3;2,4;70;
18.04.2009;11,4;;12,8;;78;0,7;0,0;122;
19.04.2009;11,6;;13,8;;72;0,9;0,0;235;
20.04.2009;11,9;;13,5;;60;0,6;0,0;243;
21.04.2009;10,8;;13,2;;63;0,6;0,0;247;
22.04.2009;3,5;;8,9;;94;0,0;0,0;0;
24.04.2009;15,5;;15,6;;50;1,4;0,0;321;
25.04.2009;15,5;;14,3;;49;1,1;0,0;248;
26.04.2009;17,3;;14,9;;47;3,0;0,0;207;
27.04.2009;18,6;;16,6;;47;3,2;0,0;241;
28.04.2009;18,3;;16,2;;47;3,8;0,0;198;
29.04.2009;13,0;;13,8;;77;1,1;0,0;116;
30.04.2009;13,7;;14,9;;78;0,7;0,3;194;
01.05.2009;15,6;;16,3;;68;0,8;0,0;214;
02.05.2009;13,3;;15,7;;58;0,3;0,0;261;
03.05.2009;15,2;;16,4;;56;0,3;0,0;259;
04.05.2009;10,3;;14,0;;73;1,0;1,2;135;
05.05.2009;9,0;;11,3;;72;0,8;0,1;89;
06.05.2009;12,1;;12,2;;81;2,1;3,8;66;
07.05.2009;14,9;;14,7;;72;0,3;0,0;160;
08.05.2009;16,8;;15,0;;68;1,1;0,0;151;
09.05.2009;16,5;;16,6;;59;0,9;0,0;231;
10.05.2009;15,9;;16,1;;71;0,7;0,0;137;
11.05.2009;11,2;;13,2;;92;0,5;7,2;37;
12.05.2009;12,1;;15,0;;70;0,5;0,0;260;
13.05.2009;12,4;;14,8;;61;1,0;0,0;282;
14.05.2009;13,3;;15,0;;54;1,3;0,0;252;
15.05.2009;15,0;;15,9;;68;2,0;0,0;228;
16.05.2009;14,7;;15,5;;75;0,7;8,2;142;
17.05.2009;17,5;;16,9;;63;1,3;0,0;271;
18.05.2009;18,2;;18,0;;70;0,5;0,0;181;
19.05.2009;18,0;;18,9;;67;0,1;0,8;240;
20.05.2009;19,8;;19,6;;61;0,6;0,0;255;
21.05.2009;20,0;;18,7;;72;1,0;2,6;152;
22.05.2009;14,8;;16,5;;80;0,5;4,3;94;
23.05.2009;14,2;;16,6;;66;0,9;0,0;249;
