LEG_NR,#horizons,hor1,th1,hor2,th2,hor3,th3,hor4,th4,hor5,th5,hor6,th6,hor7,th7
121,2,Sl4,0.02,Sl4,1.18,,,,,,,,,,
261,3,Slu,0.23,Slu,0.21,Slu,0.76,,,,,,,,
265,3,Uls,0.2,Uls,0.52,Sl4,0.48,,,,,,,,
269,3,Slu,0.26,Slu,0.24,Sl4,0.7,,,,,,,,
276,3,Sl3,0.23,Sl3,0.32,Sl4,0.65,,,,,,,,
279,6,Sl2,0.1,Uls,0.35,Su4,0.45,Uls,0.4,Su4,0.2,Su2,0.5,,
294,6,Lu,0.1,Lu,0.1,Lt2,0.3,Lt2,0.45,Sl4,0.3,Sl3,0.35,,
300,3,Sl3,0.1,Sl4,0.35,Sl3,0.75,,,,,,,,
346,3,Lu,0.27,Ut4,0.32,Slu,0.61,,,,,,,,
357,3,Sl3,0.08,Sl3,0.22,Sl3,0.9,,,,,,,,
493,5,Ut4,0.15,Ut4,0.15,Ut3,0.05,Lu,0.35,Ut4,0.8,,,,
494,4,Ut3,0.3,Ut3,0.18,Ut4,0.27,Ut4,0.75,,,,,,
495,6,Uls,0.3,Ut4,0.1,Ut4,0.5,Ut4,0.35,Tu3,0.35,Sl2,0.4,,
496,5,Ut4,0.15,Lt4,0.15,Tu4,0.25,Ut4,0.45,Ut4,0.5,,,,
497,5,Uls,0.05,Uls,0.35,Su3,0.25,Su2,0.2,Su2,0.4,,,,
498,5,Ut3,0.25,Ut3,0.15,Ut4,0.3,Ut3,0.2,Lts,0.3,,,,
499,6,Slu,0.1,Slu,0.3,Su4,0.2,Su3,0.25,Sl2,0.25,Sl2,0.3,,
500,5,Ut4,0.1,Ut4,0.25,Uls,0.25,Ls2,0.3,Ls2,0.3,,,,
501,6,Slu,0.03,Slu,0.12,Slu,0.25,Sl3,0.2,Sl3,0.2,Sl4,0.5,,
502,4,Uls,0.31,Slu,0.14,Sl3,0.23,Sl3,0.52,,,,,,
503,3,Slu,0.28,Sl4,0.24,Sl4,0.68,,,,,,,,
504,5,Slu,0.15,Uls,0.1,Uls,0.35,Ls2,0.2,Ls2,0.7,,,,
505,6,Uls,0.3,Uls,0.15,Uls,0.15,Uls,0.09,Sl3,0.81,Sl3,0.5,,
507,5,Ls2,0.1,Ls2,0.2,Sl4,0.2,Lts,0.4,Sl3,0.6,,,,
509,3,Lu,0.1,Ut3,0.2,Ut4,0.9,,,,,,,,
510,7,Uls,0.2,Uls,0.2,Ls2,0.15,Sl3,0.1,St2,0.25,St3,0.2,St2,0.4
511,5,Lu,0.15,Uls,0.2,Lu,0.15,Lt2,0.3,Lts,0.5,,,,
512,4,Uls,0.3,Ls2,0.1,Uls,0.2,Ls4,0.7,,,,,,
514,4,Slu,0.03,Sl4,0.37,Ls4,0.3,Sl3,0.6,,,,,,
515,6,Sl4,0.03,Sl3,0.37,Sl2,0.2,Sl2,0.3,Sl4,0.3,Sl4,0.3,,
516,4,Sl4,0.05,Sl4,0.1,Sl3,0.45,Slu,0.6,,,,,,
518,3,Slu,0.23,Slu,0.12,Slu,0.85,,,,,,,,
519,3,Slu,0.05,Sl3,0.25,Sl2,0.9,,,,,,,,
520,6,Sl4,0.15,Sl4,0.1,Sl4,0.35,Sl2,0.45,gS,0.1,gS,0.15,,
522,7,Su2,0.02,Su2,0.38,St2,0.1,St2,0.05,mSgs,0.25,Sl2,0.2,mSgs,0.5
524,5,Ls2,0.2,Ls2,0.15,Lt3,0.1,Lt2,0.25,Lt3,0.5,,,,
525,4,Sl3,0.15,Ls3,0.45,Slu,0.2,Ls2,0.4,,,,,,
526,6,Sl2,0.03,St2,0.07,mSfs,0.2,mSfs,0.2,mSfs,0.2,Sl2,0.55,,
527,5,Sl2,0.03,Sl2,0.37,Sl3,0.4,St2,0.3,Su2,0.4,,,,
531,4,Slu,0.15,Ls2,0.3,Slu,0.1,Sl2,0.65,,,,,,
532,5,Lu,0.03,Lt2,0.12,Tu3,0.25,Lu,0.3,Sl3,0.5,,,,
533,2,mSgs,0.01,mSgs,1.19,,,,,,,,,,
534,2,Sl3,0.05,Sl2,1.15,,,,,,,,,,
536,2,Sl2,0.01,Sl2,1.99,,,,,,,,,,
538,4,Sl3,0.15,Sl3,0.25,Su2,0.4,Su4,0.4,,,,,,
557,5,Ut3,0.28,Ut3,0.37,Ut3,0.35,Ut4,0.3,Lu,0.2,,,,
750,6,Ls2,0.22,Slu,0.88,Slu,0.3,Slu,0.2,Ls2,0.15,St2,0.25,,
935,3,Uls,0.05,Uls,0.11,Sl2,1.14,,,,,,,,
976,5,Ls2,0.2,Ls2,0.15,Lu,0.45,Lu,0.35,Lu,0.35,,,,
978,5,Ls4,0.25,Ls4,0.3,Lts,0.1,Lts,0.15,St2,0.7,,,,
979,5,mSfs,0.15,mS ,0.3,mS ,0.25,mS ,0.15,mS,0.45,,,,
2002,2,Uls,0.03,Uls,1.17,,,,,,,,,,
2005,3,Uls,0.29,Uls,0.46,Sl3,0.45,,,,,,,,
8888,,,,,,,,,,,,,,,
