time [d],date,hour,day_angle, rain [mm/d], snow [mm/d], temp [C], temp_daily_min [C], temp_daily_max [C],temp_daily_ave [C],temp_monthly_min [C],temp_monthly_max [C], air dens. [kg/m3], air pres. [KPa], rel hum. [-], cloud cover [-], ET radiation [MJ/m2/d], SW radiation [MJ/m2/d], net SW radiation [MJ/m2/d], LW radiation [MJ/m2/d], wind vel. [m/s], PET [mm/d], OW PET [mm/d], daily correction [-], potential melt [mm/d]
0,2002-10-01,00:00:00.00,4.70809,0,0,9.3,3.6,18.3,9.3,13.67,8.84,1.18685,96.6701,0.5,0,20.9533,15.4778,13.2001,-0.29492,2,2.00214,2.00214,1,46.872
1,2002-10-02,00:00:00.00,4.70809,0,0,9.3,3.6,18.3,9.3,13.67,8.84,1.18685,96.6701,0.5,0,20.9533,15.4778,13.2001,-0.29492,2,2.00214,2.00214,1,46.872
2,2002-10-03,00:00:00.00,4.7253,0,0,12,5.4,18.2,12,13.67,8.84,1.17507,96.7131,0.5,0,20.6637,15.0899,12.8692,-0.278684,2,2.02601,2.02601,1,60.48
3,2002-10-04,00:00:00.00,4.74251,3.1,0,13,6.7,17.5,13,13.67,8.84,1.17072,96.7288,0.5,0,20.3754,14.7986,12.6208,-0.272207,2,1.89663,1.89663,1,65.52
4,2002-10-05,00:00:00.00,4.75973,3.3,0,11.4,9.8,15.4,11.4,13.67,8.84,1.17768,96.7036,0.5,0,20.0885,14.6682,12.5095,-0.282449,2,1.27655,1.27655,1,57.456
5,2002-10-06,00:00:00.00,4.77694,6.2,0,10.6,8.7,13.9,10.6,13.67,8.84,1.18117,96.6909,0.5,0,19.8033,14.4864,12.3545,-0.287328,2,1.17943,1.17943,1,53.424
6,2002-10-07,00:00:00.00,4.79416,12.7,0,8.6,6,13,8.6,13.67,8.84,1.18991,96.6588,0.5,0,19.5196,14.3653,12.2512,-0.298838,2,1.25383,1.25383,1,43.344
7,2002-10-08,00:00:00.00,4.81137,8.2,0,4.3,3.8,6,4.3,13.67,8.84,1.20883,96.5883,0.5,0,19.2377,14.3321,12.2229,-0.320381,2,0.579925,0.579925,1,21.672
8,2002-10-09,00:00:00.00,4.82858,3.5,0,4.1,0.6,5.3,4.1,13.67,8.84,1.20971,96.585,0.5,0,18.9577,14.1135,12.0364,-0.32128,2,0.827737,0.827737,1,20.664
9,2002-10-10,00:00:00.00,4.8458,0.5,0,6.8,5.1,10,6.8,13.67,8.84,1.19781,96.6296,0.5,0,18.6796,13.7758,11.7484,-0.308377,2,0.935436,0.935436,1,34.272
10,2002-10-11,00:00:00.00,4.86301,0,0,4.4,0.3,8.6,4.4,13.67,8.84,1.20839,96.59,0.5,0,18.4035,13.6535,11.6441,-0.319928,2,1.08244,1.08244,1,22.176
11,2002-10-12,00:00:00.00,4.88023,0,0,2.8,-2.1,6.6,2.8,13.67,8.84,1.21548,96.5632,0.5,0,18.1295,13.4918,11.5062,-0.326912,2,1.01304,1.01304,1,14.112
12,2002-10-13,00:00:00.00,4.89744,0,0,1.8,-1.1,3.4,1.8,13.67,8.84,1.21993,96.5464,0.5,0,17.8577,13.3061,11.3478,-0.330994,2,0.682814,0.682814,1,9.072
13,2002-10-14,00:00:00.00,4.91466,0.8,0.8,1.2,-0.2,3,1.2,13.67,8.84,1.22261,96.5362,0.5,0,17.5883,13.1072,11.1782,-0.333341,2,0.54975,0.54975,1,6.048
14,2002-10-15,00:00:00.00,4.93187,0,0,9.3,1,13,9.3,13.67,8.84,1.18685,96.6701,0.5,0,17.3212,12.5735,10.7231,-0.29492,2,1.49538,1.49538,1,46.872
15,2002-10-16,00:00:00.00,4.94908,2,0,11.9,9.8,14.1,11.9,13.67,8.84,1.17551,96.7115,0.5,0,17.0566,12.2344,10.4338,-0.279318,2,0.966043,0.966043,1,59.976
16,2002-10-17,00:00:00.00,4.9663,4.5,0,14.2,10.4,15.8,14.2,13.67,8.84,1.1655,96.7475,0.5,0,16.7945,11.9025,10.1508,-0.264093,2,1.14849,1.14849,1,71.568
17,2002-10-18,00:00:00.00,4.98351,0,0,11.7,9.8,15.1,11.7,13.67,8.84,1.17638,96.7084,0.5,0,16.5351,11.8325,10.0911,-0.280578,2,1.03272,1.03272,1,58.968
18,2002-10-19,00:00:00.00,5.00073,0,0,7,5.8,10.2,7,13.67,8.84,1.19693,96.6328,0.5,0,16.2784,11.841,10.0984,-0.307354,2,0.778762,0.778762,1,35.28
19,2002-10-20,00:00:00.00,5.01794,5.9,0,4.2,2.7,6.8,4.2,13.67,8.84,1.20927,96.5867,0.5,0,16.0246,11.7423,10.0142,-0.320832,2,0.65647,0.65647,1,21.168
20,2002-10-21,00:00:00.00,5.03516,0,0,4.1,-1,8.1,4.1,13.67,8.84,1.20971,96.585,0.5,0,15.7736,11.5439,9.84488,-0.32128,2,0.958317,0.958317,1,20.664
21,2002-10-22,00:00:00.00,5.05237,4.6,0,8.2,-1.4,9.8,8.2,13.67,8.84,1.19166,96.6524,0.5,0,15.5255,11.1914,9.54429,-0.301024,2,1.24235,1.24235,1,41.328
22,2002-10-23,00:00:00.00,5.06958,2.8,0,11.8,7.8,14.4,11.8,13.67,8.84,1.17594,96.7099,0.5,0,15.2805,10.8382,9.24306,-0.279949,2,1.0686,1.0686,1,59.472
23,2002-10-24,00:00:00.00,5.0868,0.4,0,11.1,8,15.8,11.1,13.67,8.84,1.17899,96.6989,0.5,0,15.0387,10.6802,9.10833,-0.284297,2,1.11627,1.11627,1,55.944
24,2002-10-25,00:00:00.00,5.10401,2.9,0,4,1.2,9.6,4,13.67,8.84,1.21016,96.5833,0.5,0,14.8,10.7649,9.18057,-0.321727,2,0.859945,0.859945,1,20.16
25,2002-10-26,00:00:00.00,5.12123,6.6,0,8.4,-0.6,13.1,8.4,13.67,8.84,1.19079,96.6556,0.5,0,14.5645,10.4195,8.88602,-0.299936,2,1.29889,1.29889,1,42.336
