time,date,hour,precip [mm/day],KS_53719235 [m3/s]
0,2002-10-01,00:00:00.00,---,0.486143
1,2002-10-02,00:00:00.00,0,0.318322
2,2002-10-03,00:00:00.00,0,0.0752508
3,2002-10-04,00:00:00.00,3.1,0
4,2002-10-05,00:00:00.00,3.3,0
5,2002-10-06,00:00:00.00,6.2,0
6,2002-10-07,00:00:00.00,12.7,0
7,2002-10-08,00:00:00.00,8.2,0
8,2002-10-09,00:00:00.00,3.5,0
9,2002-10-10,00:00:00.00,0.5,0
10,2002-10-11,00:00:00.00,0,0
11,2002-10-12,00:00:00.00,0,0
12,2002-10-13,00:00:00.00,0,0
13,2002-10-14,00:00:00.00,1.6,0
14,2002-10-15,00:00:00.00,0,0
15,2002-10-16,00:00:00.00,2,0
16,2002-10-17,00:00:00.00,4.5,0
17,2002-10-18,00:00:00.00,0,0
18,2002-10-19,00:00:00.00,0,0
19,2002-10-20,00:00:00.00,5.9,0
20,2002-10-21,00:00:00.00,0,0
21,2002-10-22,00:00:00.00,4.6,0
22,2002-10-23,00:00:00.00,2.8,0
23,2002-10-24,00:00:00.00,0.4,0
24,2002-10-25,00:00:00.00,2.9,0
25,2002-10-26,00:00:00.00,6.6,0
26,2002-10-27,00:00:00.00,0,0
27,2002-10-28,00:00:00.00,9.9,0
28,2002-10-29,00:00:00.00,7.7,0
29,2002-10-30,00:00:00.00,3.4,0
30,2002-10-31,00:00:00.00,0,0
31,2002-11-01,00:00:00.00,0.6,0
32,2002-11-02,00:00:00.00,2.1,0
33,2002-11-03,00:00:00.00,4.6,0
34,2002-11-04,00:00:00.00,8.7,0
35,2002-11-05,00:00:00.00,1.8,0
36,2002-11-06,00:00:00.00,0,0
37,2002-11-07,00:00:00.00,0,0
38,2002-11-08,00:00:00.00,2.3,0
39,2002-11-09,00:00:00.00,22.8,0
40,2002-11-10,00:00:00.00,11.2,0
41,2002-11-11,00:00:00.00,2.1,0
42,2002-11-12,00:00:00.00,6.1,0
43,2002-11-13,00:00:00.00,0,0
44,2002-11-14,00:00:00.00,0,0
45,2002-11-15,00:00:00.00,0.4,0
46,2002-11-16,00:00:00.00,0.6,0
47,2002-11-17,00:00:00.00,0,0
48,2002-11-18,00:00:00.00,0,0
49,2002-11-19,00:00:00.00,8,0
50,2002-11-20,00:00:00.00,29.1,0
51,2002-11-21,00:00:00.00,0,0
52,2002-11-22,00:00:00.00,0,0
53,2002-11-23,00:00:00.00,13.7,0
54,2002-11-24,00:00:00.00,4,0
55,2002-11-25,00:00:00.00,0,0
56,2002-11-26,00:00:00.00,0.4,0
57,2002-11-27,00:00:00.00,0,0
58,2002-11-28,00:00:00.00,0.5,0
59,2002-11-29,00:00:00.00,0,0
60,2002-11-30,00:00:00.00,14.6,0
61,2002-12-01,00:00:00.00,18.9,0
62,2002-12-02,00:00:00.00,0,0
63,2002-12-03,00:00:00.00,0,0
64,2002-12-04,00:00:00.00,0.4,0
65,2002-12-05,00:00:00.00,0.2,0
66,2002-12-06,00:00:00.00,0,0
67,2002-12-07,00:00:00.00,0,0
68,2002-12-08,00:00:00.00,0,0
69,2002-12-09,00:00:00.00,0,0
70,2002-12-10,00:00:00.00,0,0
71,2002-12-11,00:00:00.00,0,0
72,2002-12-12,00:00:00.00,0,0
73,2002-12-13,00:00:00.00,0,0
74,2002-12-14,00:00:00.00,0,0
75,2002-12-15,00:00:00.00,0,0
76,2002-12-16,00:00:00.00,1.2,0
77,2002-12-17,00:00:00.00,2.6,0
78,2002-12-18,00:00:00.00,4,0
79,2002-12-19,00:00:00.00,2.4,0
80,2002-12-20,00:00:00.00,0,0
81,2002-12-21,00:00:00.00,0,0
82,2002-12-22,00:00:00.00,0,0
83,2002-12-23,00:00:00.00,19.6,0
84,2002-12-24,00:00:00.00,0,0
85,2002-12-25,00:00:00.00,1.1,0
86,2002-12-26,00:00:00.00,0,0
87,2002-12-27,00:00:00.00,0.9,0
88,2002-12-28,00:00:00.00,0,0
89,2002-12-29,00:00:00.00,0.4,0
90,2002-12-30,00:00:00.00,13.1,0
91,2002-12-31,00:00:00.00,34.2,0
92,2003-01-01,00:00:00.00,1.4,0
93,2003-01-02,00:00:00.00,4.9,0
94,2003-01-03,00:00:00.00,11,0
95,2003-01-04,00:00:00.00,9.2,0
96,2003-01-05,00:00:00.00,0.7,0
97,2003-01-06,00:00:00.00,0.2,0
98,2003-01-07,00:00:00.00,5.3,0
99,2003-01-08,00:00:00.00,1,0
100,2003-01-09,00:00:00.00,0,0
101,2003-01-10,00:00:00.00,0,0
102,2003-01-11,00:00:00.00,1.2,0
103,2003-01-12,00:00:00.00,0.3,0
104,2003-01-13,00:00:00.00,0.2,0
105,2003-01-14,00:00:00.00,9.8,0
106,2003-01-15,00:00:00.00,0.4,0
107,2003-01-16,00:00:00.00,0,0
108,2003-01-17,00:00:00.00,0,0
109,2003-01-18,00:00:00.00,0,0
110,2003-01-19,00:00:00.00,0,0
111,2003-01-20,00:00:00.00,0.4,0
112,2003-01-21,00:00:00.00,0,0
113,2003-01-22,00:00:00.00,0,0
114,2003-01-23,00:00:00.00,0,0
115,2003-01-24,00:00:00.00,13.8,0
116,2003-01-25,00:00:00.00,4.4,0
117,2003-01-26,00:00:00.00,2.5,0
118,2003-01-27,00:00:00.00,0,0
119,2003-01-28,00:00:00.00,6.4,0
120,2003-01-29,00:00:00.00,9.8,0
121,2003-01-30,00:00:00.00,7.9,0
122,2003-01-31,00:00:00.00,2.2,0
123,2003-02-01,00:00:00.00,2.8,0
124,2003-02-02,00:00:00.00,0,0
125,2003-02-03,00:00:00.00,3.4,0
126,2003-02-04,00:00:00.00,3,0
127,2003-02-05,00:00:00.00,0,0
128,2003-02-06,00:00:00.00,0,0
129,2003-02-07,00:00:00.00,2.4,0
130,2003-02-08,00:00:00.00,4.2,0
131,2003-02-09,00:00:00.00,2.4,0
132,2003-02-10,00:00:00.00,0,0
133,2003-02-11,00:00:00.00,0,0
134,2003-02-12,00:00:00.00,0,0
135,2003-02-13,00:00:00.00,0,0
136,2003-02-14,00:00:00.00,0,0
137,2003-02-15,00:00:00.00,0,0
138,2003-02-16,00:00:00.00,4.7,0
139,2003-02-17,00:00:00.00,0.3,0
140,2003-02-18,00:00:00.00,0,0
141,2003-02-19,00:00:00.00,0,0
142,2003-02-20,00:00:00.00,0,0
143,2003-02-21,00:00:00.00,0,0
144,2003-02-22,00:00:00.00,0,0
145,2003-02-23,00:00:00.00,0,0
146,2003-02-24,00:00:00.00,0,0
147,2003-02-25,00:00:00.00,0,0
148,2003-02-26,00:00:00.00,0,0
149,2003-02-27,00:00:00.00,0,0
150,2003-02-28,00:00:00.00,0,0
151,2003-03-01,00:00:00.00,0,0
152,2003-03-02,00:00:00.00,0,0
153,2003-03-03,00:00:00.00,1.2,0
154,2003-03-04,00:00:00.00,0.6,0
155,2003-03-05,00:00:00.00,0,0
156,2003-03-06,00:00:00.00,0,0
157,2003-03-07,00:00:00.00,3.4,0
158,2003-03-08,00:00:00.00,2.7,0
159,2003-03-09,00:00:00.00,3.2,0
160,2003-03-10,00:00:00.00,1,0
161,2003-03-11,00:00:00.00,0,0
162,2003-03-12,00:00:00.00,10.2,0
163,2003-03-13,00:00:00.00,5.8,0
164,2003-03-14,00:00:00.00,0.5,0
165,2003-03-15,00:00:00.00,0.2,0
166,2003-03-16,00:00:00.00,0,0
167,2003-03-17,00:00:00.00,0,0
168,2003-03-18,00:00:00.00,0,0
169,2003-03-19,00:00:00.00,0,0
170,2003-03-20,00:00:00.00,0,0
171,2003-03-21,00:00:00.00,0,0
172,2003-03-22,00:00:00.00,0,0
173,2003-03-23,00:00:00.00,0,0
174,2003-03-24,00:00:00.00,0,0
175,2003-03-25,00:00:00.00,0,0
176,2003-03-26,00:00:00.00,0,0
177,2003-03-27,00:00:00.00,0,0
178,2003-03-28,00:00:00.00,4.2,0
179,2003-03-29,00:00:00.00,0,0
180,2003-03-30,00:00:00.00,0,0
181,2003-03-31,00:00:00.00,0,0
182,2003-04-01,00:00:00.00,0,0
183,2003-04-02,00:00:00.00,4,0
184,2003-04-03,00:00:00.00,5.6,0
185,2003-04-04,00:00:00.00,1.6,0
186,2003-04-05,00:00:00.00,0,0
187,2003-04-06,00:00:00.00,0.5,0
188,2003-04-07,00:00:00.00,4.3,0
189,2003-04-08,00:00:00.00,1.2,0
190,2003-04-09,00:00:00.00,0.3,0
191,2003-04-10,00:00:00.00,0,0
192,2003-04-11,00:00:00.00,0.7,0
193,2003-04-12,00:00:00.00,0.2,0
194,2003-04-13,00:00:00.00,0,0
195,2003-04-14,00:00:00.00,0,0
196,2003-04-15,00:00:00.00,0,0
197,2003-04-16,00:00:00.00,0,0
198,2003-04-17,00:00:00.00,0,0
199,2003-04-18,00:00:00.00,0,0
200,2003-04-19,00:00:00.00,15.9,0
201,2003-04-20,00:00:00.00,12.1,0
202,2003-04-21,00:00:00.00,0,0
203,2003-04-22,00:00:00.00,0,0
204,2003-04-23,00:00:00.00,0,0
205,2003-04-24,00:00:00.00,0,0
206,2003-04-25,00:00:00.00,0,0
207,2003-04-26,00:00:00.00,0,0
208,2003-04-27,00:00:00.00,2.6,0
209,2003-04-28,00:00:00.00,2.6,0
210,2003-04-29,00:00:00.00,0,0
211,2003-04-30,00:00:00.00,0,0
212,2003-05-01,00:00:00.00,0,0
213,2003-05-02,00:00:00.00,0,0
214,2003-05-03,00:00:00.00,0,0
215,2003-05-04,00:00:00.00,0,0
216,2003-05-05,00:00:00.00,0,0
217,2003-05-06,00:00:00.00,0,0
218,2003-05-07,00:00:00.00,0,0
219,2003-05-08,00:00:00.00,0,0
220,2003-05-09,00:00:00.00,10.7,0
221,2003-05-10,00:00:00.00,9.6,0
222,2003-05-11,00:00:00.00,0,0
223,2003-05-12,00:00:00.00,0,0
224,2003-05-13,00:00:00.00,2.2,0
225,2003-05-14,00:00:00.00,0,0
226,2003-05-15,00:00:00.00,0,0
227,2003-05-16,00:00:00.00,4.4,0
228,2003-05-17,00:00:00.00,0,0
229,2003-05-18,00:00:00.00,1,0
230,2003-05-19,00:00:00.00,2.9,0
231,2003-05-20,00:00:00.00,5.1,0
232,2003-05-21,00:00:00.00,0,0
233,2003-05-22,00:00:00.00,0,0
234,2003-05-23,00:00:00.00,0,0
235,2003-05-24,00:00:00.00,0,0
236,2003-05-25,00:00:00.00,0,0
237,2003-05-26,00:00:00.00,0,0
238,2003-05-27,00:00:00.00,7.7,0
239,2003-05-28,00:00:00.00,0,0
240,2003-05-29,00:00:00.00,0,0
241,2003-05-30,00:00:00.00,0,0
242,2003-05-31,00:00:00.00,0,0
243,2003-06-01,00:00:00.00,0.9,0
244,2003-06-02,00:00:00.00,0,0
245,2003-06-03,00:00:00.00,0,0
246,2003-06-04,00:00:00.00,0,0
247,2003-06-05,00:00:00.00,0,0
248,2003-06-06,00:00:00.00,10.7,0
249,2003-06-07,00:00:00.00,0,0
250,2003-06-08,00:00:00.00,0,0
251,2003-06-09,00:00:00.00,0,0
252,2003-06-10,00:00:00.00,0,0
253,2003-06-11,00:00:00.00,0,0
254,2003-06-12,00:00:00.00,0,0
255,2003-06-13,00:00:00.00,8.7,0
256,2003-06-14,00:00:00.00,0,0
257,2003-06-15,00:00:00.00,0,0
258,2003-06-16,00:00:00.00,0,0
259,2003-06-17,00:00:00.00,0,0
260,2003-06-18,00:00:00.00,0.9,0
261,2003-06-19,00:00:00.00,6,0
262,2003-06-20,00:00:00.00,0.9,0
263,2003-06-21,00:00:00.00,2.9,0
264,2003-06-22,00:00:00.00,0,0
265,2003-06-23,00:00:00.00,0,0
266,2003-06-24,00:00:00.00,1.2,0
267,2003-06-25,00:00:00.00,0,0
268,2003-06-26,00:00:00.00,0,0
269,2003-06-27,00:00:00.00,0,0
270,2003-06-28,00:00:00.00,0,0
271,2003-06-29,00:00:00.00,0,0
272,2003-06-30,00:00:00.00,2.2,0
273,2003-07-01,00:00:00.00,8.3,0
274,2003-07-02,00:00:00.00,11.5,0
275,2003-07-03,00:00:00.00,0,0
276,2003-07-04,00:00:00.00,0.2,0
277,2003-07-05,00:00:00.00,3.2,0
278,2003-07-06,00:00:00.00,0.9,0
279,2003-07-07,00:00:00.00,0,0
280,2003-07-08,00:00:00.00,0,0
281,2003-07-09,00:00:00.00,0,0
282,2003-07-10,00:00:00.00,0.9,0
283,2003-07-11,00:00:00.00,0,0
284,2003-07-12,00:00:00.00,0,0
285,2003-07-13,00:00:00.00,0,0
286,2003-07-14,00:00:00.00,0,0
287,2003-07-15,00:00:00.00,0,0
288,2003-07-16,00:00:00.00,0,0
289,2003-07-17,00:00:00.00,0,0
290,2003-07-18,00:00:00.00,8.7,0
291,2003-07-19,00:00:00.00,0,0
292,2003-07-20,00:00:00.00,0,0
293,2003-07-21,00:00:00.00,0,0
294,2003-07-22,00:00:00.00,1.8,0
295,2003-07-23,00:00:00.00,0,0
296,2003-07-24,00:00:00.00,3.4,0
297,2003-07-25,00:00:00.00,15.2,0
298,2003-07-26,00:00:00.00,0,0
299,2003-07-27,00:00:00.00,0,0
300,2003-07-28,00:00:00.00,27.1,0
301,2003-07-29,00:00:00.00,3.8,0
302,2003-07-30,00:00:00.00,0.4,0
303,2003-07-31,00:00:00.00,0,0
304,2003-08-01,00:00:00.00,0.2,0
305,2003-08-02,00:00:00.00,0,0
306,2003-08-03,00:00:00.00,0,0
307,2003-08-04,00:00:00.00,0,0
308,2003-08-05,00:00:00.00,0,0
309,2003-08-06,00:00:00.00,0,0
310,2003-08-07,00:00:00.00,0,0
311,2003-08-08,00:00:00.00,0,0
312,2003-08-09,00:00:00.00,0,0
313,2003-08-10,00:00:00.00,0,0
314,2003-08-11,00:00:00.00,0,0
315,2003-08-12,00:00:00.00,0,0
