time [d],date,hour,rainfall [mm/day],snowfall [mm/d SWE],Channel Storage [mm],Reservoir Storage [mm],Rivulet Storage [mm],Surface Water [mm],Cum. Losses to Atmosphere [mm],Ponded Water [mm],Soil Water[0] [mm],Soil Water[1] [mm],Soil Water[2] [mm],Snow Melt (Liquid) [mm],Snow [mm],Canopy [mm],Canopy Snow [mm], Total [mm], Cum. Inputs [mm], Cum. Outflow [mm], MB Error [mm]
0,2002-10-01,00:00:00.00,---,---,0.261879,0,0.958248,0,0,0,9.98837,10,10,0,0,0,0,31.2085,0,0,0
1,2002-10-02,00:00:00.00,0,0,0.113551,0,0.479124,0,1.8766,0,8.91689,9.19488,10,0,0,0,0,30.581,0,0.627453,4.10783e-14
2,2002-10-03,00:00:00.00,0,0,-0.034778,0,0.479124,0,3.75327,0,7.90431,8.33079,10,0,0,0,0,30.4327,0,0.775781,2.76446e-14
3,2002-10-04,00:00:00.00,3.1,0,-0.034778,0,0.479124,0,5.57489,1.56972e-18,8.88375,8.62972,10,0,0,0,0,33.5327,3.1,0.775781,5.72875e-14
4,2002-10-05,00:00:00.00,3.3,0,-0.034778,0,0.479124,0,6.82794,-1.19153e-18,10.4869,9.07352,10,0,0,0,0,36.8327,6.4,0.775781,1.12799e-13
5,2002-10-06,00:00:00.00,6.2,0,-0.034778,0,0.479124,0,8.00496,2.98936e-18,13.6958,10.8876,10,0,0,0,0,43.0327,12.6,0.775781,1.77636e-14
6,2002-10-07,00:00:00.00,12.7,0,-0.034778,0,0.479124,0,9.51165,-5.46555e-18,19.5328,16.244,10,0,0,0,0,55.7327,25.3,0.775781,2.4869e-14
7,2002-10-08,00:00:00.00,8.2,0,-0.034778,0,0.479124,0,10.4603,1.62881e-18,22.763,20.2651,10,0,0,0,0,63.9327,33.5,0.775781,-7.10543e-15
8,2002-10-09,00:00:00.00,3.5,0,-0.034778,0,0.479124,0,11.2883,-5.70858e-19,23.893,21.8071,10,0,0,0,0,67.4327,37,0.775781,-4.26326e-14
9,2002-10-10,00:00:00.00,0.5,0,-0.034778,0,0.479124,0,12.2236,-2.48504e-20,23.7153,21.5494,10,0,0,0,0,67.9327,37.5,0.775781,4.26326e-14
10,2002-10-11,00:00:00.00,0,0,-0.034778,0,0.479124,0,13.306,-7.10828e-36,23.2219,20.9605,10,0,0,0,0,67.9327,37.5,0.775781,-1.42109e-14
11,2002-10-12,00:00:00.00,0,0,-0.034778,0,0.479124,0,14.3189,-2.87095e-53,22.8225,20.347,10,0,0,0,0,67.9327,37.5,0.775781,4.26326e-14
12,2002-10-13,00:00:00.00,0,0,-0.034778,0,0.479124,0,15.0017,6.49331e-70,22.7628,19.7239,10,0,0,0,0,67.9327,37.5,0.775781,-2.84217e-14
13,2002-10-14,00:00:00.00,0.8,0.8,-0.034778,0,0.479124,0,15.5514,-6.28184e-20,23.5095,20.0274,10,0,0,0,0,69.5327,39.1,0.775781,4.9738e-14
14,2002-10-15,00:00:00.00,0,0,-0.034778,0,0.479124,0,17.0467,-3.50127e-36,22.6614,19.3802,10,0,0,0,0,69.5327,39.1,0.775781,-7.10543e-15
15,2002-10-16,00:00:00.00,2,0,-0.034778,0,0.479124,0,18.0127,-3.84485e-19,23.2293,19.8463,10,0,0,0,0,71.5327,41.1,0.775781,1.06581e-13
16,2002-10-17,00:00:00.00,4.5,0,-0.034778,0,0.479124,0,19.1618,1.94417e-19,24.668,21.7586,10,0,0,0,0,76.0327,45.6,0.775781,4.26326e-14
17,2002-10-18,00:00:00.00,0,0,-0.034778,0,0.479124,0,20.1944,-4.07957e-35,24.256,21.138,10,0,0,0,0,76.0327,45.6,0.775781,-2.84217e-14
18,2002-10-19,00:00:00.00,0,0,-0.034778,0,0.479124,0,20.9731,-7.16199e-52,24.1088,20.5064,10,0,0,0,0,76.0327,45.6,0.775781,8.52651e-14
19,2002-10-20,00:00:00.00,5.9,0,-0.034778,0,0.479124,0,21.6974,-3.7667e-19,26.5257,23.2653,10,0,0,0,0,81.9327,51.5,0.775781,1.13687e-13
20,2002-10-21,00:00:00.00,0,0,-0.034778,0,0.479124,0,22.6556,1.9234e-35,26.1458,22.6869,10,0,0,0,0,81.9327,51.5,0.775781,2.84217e-14
21,2002-10-22,00:00:00.00,4.6,0,-0.034778,0,0.479124,0,23.8987,1.30337e-18,27.3357,24.854,10,0,0,0,0,86.5327,56.1,0.775781,-5.68434e-14
22,2002-10-23,00:00:00.00,2.8,0,-0.034778,0,0.479124,0,24.9674,1.3009e-19,27.9177,26.0032,10,0,0,0,0,89.3327,58.9,0.775781,1.13687e-13
23,2002-10-24,00:00:00.00,0.4,0,-0.034778,0,0.479124,0,26.0837,-9.78241e-21,27.5259,25.6788,10,0,0,0,0,89.7327,59.3,0.775781,-7.10543e-15
24,2002-10-25,00:00:00.00,2.9,0,-0.034778,0,0.479124,0,26.944,1.56523e-19,28.3791,26.8653,10,0,0,0,0,92.6327,62.2,0.775781,6.39488e-14
25,2002-10-26,00:00:00.00,6.6,0,-0.034778,0,0.479124,0,28.2468,2.13313e-19,30.1576,30.384,10,0,0,0,0,99.2327,68.8,0.775781,-1.42109e-14
26,2002-10-27,00:00:00.00,0,0,-0.034778,0,0.479124,0,28.9956,3.53792e-36,29.9288,29.8639,10,0,0,0,0,99.2327,68.8,0.775781,1.42109e-13
27,2002-10-28,00:00:00.00,9.9,0,-0.034778,0,0.479124,0,30.2108,-1.79214e-18,32.86,35.6176,10,0,0,0,0,109.133,78.7,0.775781,2.13163e-13
28,2002-10-29,00:00:00.00,7.7,0,-0.034778,0,0.479124,0,31.1407,2.14311e-19,34.9023,40.3454,10,0,0,0,0,116.833,86.4,0.775781,1.84741e-13
29,2002-10-30,00:00:00.00,3.4,0,-0.034778,0,0.479124,0,31.9334,0,35.5686,42.2864,10,0,0,0,0,120.233,89.8,0.775781,-1.13687e-13
30,2002-10-31,00:00:00.00,0,0,-0.034778,0,0.479124,0,32.5139,0,35.3985,41.8759,10,0,0,0,0,120.233,89.8,0.775781,-4.26326e-14
31,2002-11-01,00:00:00.00,0.6,0,-0.034778,0,0.479124,0,33.3219,-7.44853e-20,35.2079,41.8586,10,0,0,0,0,120.833,90.4,0.775781,-7.10543e-14
32,2002-11-02,00:00:00.00,2.1,0,-0.034778,0,0.479124,0,34.2191,3.09682e-19,35.4224,42.8468,10,0,0,0,0,122.933,92.5,0.775781,4.26326e-14
33,2002-11-03,00:00:00.00,4.6,0,-0.034778,0,0.479124,0,34.9588,-2.51213e-19,36.5833,45.5463,10,0,0,0,0,127.533,97.1,0.775781,1.7053e-13
34,2002-11-04,00:00:00.00,8.7,0,-0.034778,0,0.479124,0,35.9683,3.195e-19,38.642,51.1782,10,0,0,0,0,136.233,105.8,0.775781,-1.56319e-13
35,2002-11-05,00:00:00.00,0.9,0.9,-0.034778,0,0.479124,0,36.3604,0,39.1075,52.1205,10,0,0,0,0,138.033,107.6,0.775781,-1.98952e-13
36,2002-11-06,00:00:00.00,0,0,-0.034778,0,0.479124,0,36.7368,0,39.0911,51.7605,10,0,0,0,0,138.033,107.6,0.775781,3.41061e-13
37,2002-11-07,00:00:00.00,0,0,-0.034778,0,0.479124,0,37.2321,0,38.9672,51.389,10,0,0,0,0,138.033,107.6,0.775781,1.13687e-13
38,2002-11-08,00:00:00.00,0,2.3,-0.034778,0,0.479124,0,37.773,0,39.0209,51.0142,10,0,2.08025,0,0,140.333,109.9,0.775781,-8.52651e-14
39,2002-11-09,00:00:00.00,11.4,11.4,-0.034778,0,0.479124,0,40.1707,0,43.781,68.7367,10,0,0,0,0,163.133,132.7,0.775781,-1.13687e-13
40,2002-11-10,00:00:00.00,5.6,5.6,-0.034778,0,0.479124,0,41.3525,0,45.5234,77.0124,10,0,0,0,0,174.333,143.9,0.775781,-5.68434e-14
41,2002-11-11,00:00:00.00,2.1,0,-0.034778,0,0.479124,0,41.8302,0,45.7952,78.363,10,0,0,0,0,176.433,146,0.775781,2.55795e-13
