time [d],date,hour,rainfall [mm/day],snowfall [mm/d SWE],Channel Storage [mm],Reservoir Storage [mm],Rivulet Storage [mm],Surface Water [mm],Cum. Losses to Atmosphere [mm],Ponded Water [mm],Soil Water[0] [mm],Soil Water[1] [mm],Soil Water[2] [mm],Snow Melt (Liquid) [mm],Snow [mm],Canopy [mm],Canopy Snow [mm], Total [mm], Cum. Inputs [mm], Cum. Outflow [mm], MB Error [mm]
0,2001-01-01,00:00:00.00,---,---,0.261879,0,0.958248,0,0,0,0.01,0.01,0.01,0,0,0,0,1.25013,0,0,-2.22045e-16
1,2001-01-02,00:00:00.00,0.9,0,0.113918,0,0.48019,0,0.000626222,-5.54526e-19,0.919132,0,0.00810913,0,0,0,0,1.52198,0.9,0.628152,-4.44089e-16
2,2001-01-03,00:00:00.00,0.5,0,-0.0334709,0,0.479728,0,0.00114626,1.56821e-18,1.41861,0,0.00690023,0,0,0,0,1.87292,1.4,0.777211,-2.77556e-15
3,2001-01-04,00:00:00.00,0,0,-0.0331412,0,0.479567,0,0.00189621,7.17663e-35,1.41786,0,0.0060131,0,0,0,0,1.8722,1.4,0.77793,-9.32587e-15
4,2001-01-05,00:00:00.00,0,0,-0.0334079,0,0.479485,0,0.00277415,3.98383e-51,1.41698,0,0.00529022,0,0,0,0,1.87113,1.4,0.779001,-1.11022e-15
5,2001-01-06,00:00:00.00,6.1,0,-0.0312992,0,0.485711,0,0.00787536,9.40788e-18,7.42903,0,0.07497,0,0,0,0,7.96629,7.5,0.783842,-6.21725e-15
6,2001-01-07,00:00:00.00,0.5,0,-0.0308699,0,0.483846,0,0.0136126,-2.41369e-18,7.92329,0,0.0655252,0,0,0,0,8.4554,8,0.794722,4.88498e-14
7,2001-01-08,00:00:00.00,0,0,-0.0322072,0,0.483067,0,0.0177467,9.54099e-36,7.91916,0,0.0576382,0,0,0,0,8.4454,8,0.804725,-1.86517e-14
8,2001-01-09,00:00:00.00,0,0,-0.0320041,0,0.482531,0,0.021551,-8.17394e-53,7.91535,0,0.0508239,0,0,0,0,8.43825,8,0.811873,5.32907e-15
9,2001-01-10,00:00:00.00,0.3,0.3,-0.0323606,0,0.482111,0,0.0256346,-3.6265e-18,8.51123,0,0.0448889,0,0,0,0,9.0315,8.6,0.818624,-3.01981e-14
10,2001-01-11,00:00:00.00,1.7,1.7,-0.0316367,0,0.484239,0,0.0330547,-2.43725e-17,11.8706,0,0.0672854,2.76056e-05,0.000552112,0,0,12.4241,12,0.826003,-1.95399e-14
