time [d],date,hour,day_angle, rain [mm/d], snow [mm/d], temp [C], temp_daily_min [C], temp_daily_max [C],temp_daily_ave [C],temp_monthly_min [C],temp_monthly_max [C], air dens. [kg/m3], air pres. [KPa], rel hum. [-], cloud cover [-], ET radiation [MJ/m2/d], SW radiation [MJ/m2/d], net SW radiation [MJ/m2/d], LW radiation [MJ/m2/d], wind vel. [m/s], PET [mm/d], OW PET [mm/d], daily correction [-], potential melt [mm/d]
0,2006-01-01,00:00:00.00,0.0086071,1.62421,0,3.10146,0.73355,4.25697,3.10146,0,0,1.21409,96.5659,0.5,0,8.0445,5.431,4.63159,-0.325154,2,0.291303,0.291303,1,10.1915
1,2006-01-02,00:00:00.00,0.0086071,1.62421,0,3.10146,0.73355,4.25697,3.10146,0,0,1.21409,96.5659,0.5,0,8.0445,5.431,4.63159,-0.325154,2,0.291303,0.291303,1,10.1915
2,2006-01-03,00:00:00.00,0.0258213,3.74856,0.90715,1.62585,-0.0967501,3.78552,1.62585,0,0,1.22065,96.5405,0.5,0,8.09709,5.49877,4.6894,-0.330978,2,0.286799,0.286799,1,5.36123
3,2006-01-04,00:00:00.00,0.0430355,0.0790717,0.0098935,0.663634,-0.671603,2.21442,0.663634,0,0,1.22497,96.5249,0.5,0,8.15406,5.56058,4.7099,-0.335039,2,0.236438,0.236438,1,2.19923
4,2006-01-05,00:00:00.00,0.0602497,0,0,0.408334,-0.25424,1.81879,0.408334,0,0,1.22611,96.52,0.5,0,8.21541,5.61249,4.75385,-0.336061,2,0.199003,0.199003,1,1.36983
5,2006-01-06,00:00:00.00,0.0774639,0,0,-0.996034,-3.33285,1.72603,-0.996034,0,0,1.23245,96.4962,0.5,0,8.28114,5.68749,4.8174,-0.34172,2,0.287972,0.287972,1,-3.22229
6,2006-01-07,00:00:00.00,0.0946781,0.409061,1.21442,-1.42651,-2.81448,-0.266269,-1.42651,0,0,1.23441,96.4892,0.5,0,8.35125,5.74963,4.87004,-0.343988,2,0.19941,0.19941,1,-4.63183
7,2006-01-08,00:00:00.00,0.111892,4.95495,1.63439,0.734516,-0.665872,2.90815,0.734516,0,0,1.22465,96.5263,0.5,0,8.42576,5.77158,4.7923,-0.334839,2,0.272651,0.272651,1,2.42053
8,2006-01-09,00:00:00.00,0.129107,12.9321,0,4.27528,1.75425,6.57584,4.27528,0,0,1.20892,96.5872,0.5,0,8.50467,5.76523,4.86552,-0.320641,2,0.37852,0.37852,1,13.9347
9,2006-01-10,00:00:00.00,0.146321,0.0319131,0,5.76249,1.99615,6.68534,5.76249,0,0,1.20232,96.6101,0.5,0,8.58797,5.79587,4.93926,-0.312972,2,0.403988,0.403988,1,18.7852
10,2006-01-11,00:00:00.00,0.163535,2.56231,0,4.05185,2.64594,5.04025,4.05185,0,0,1.20987,96.5817,0.5,0,8.67568,5.90145,5.03271,-0.320935,2,0.270705,0.270705,1,13.2043
11,2006-01-12,00:00:00.00,0.180749,11.964,0,5.54594,3.66643,7.34437,5.54594,0,0,1.20328,96.6068,0.5,0,8.76779,5.9402,5.06578,-0.314091,2,0.361144,0.361144,1,18.0364
12,2006-01-13,00:00:00.00,0.197963,0,0,6.92703,1.17273,11.4175,6.92703,0,0,1.19722,96.6305,0.5,0,8.8643,5.98296,5.1023,-0.307631,2,0.644467,0.644467,1,22.4794
13,2006-01-14,00:00:00.00,0.215178,0,0,7.10497,1.4117,11.5573,7.10497,0,0,1.19644,96.6337,0.5,0,8.96522,6.05668,5.16519,-0.306737,2,0.653496,0.653496,1,23.0247
14,2006-01-15,00:00:00.00,0.232392,0,0,6.84147,2.12983,13.7852,6.84147,0,0,1.19763,96.6305,0.5,0,9.07055,6.14539,5.24081,-0.309056,2,0.699737,0.699737,1,22.1211
15,2006-01-16,00:00:00.00,0.249606,0.0667239,0,2.23452,-0.0050588,4.05264,2.23452,0,0,1.21795,96.5517,0.5,0,9.18028,6.33364,5.40138,-0.328889,2,0.342066,0.342066,1,7.24365
16,2006-01-17,00:00:00.00,0.26682,6.17315,0,2.4121,0.784909,6.18491,2.4121,0,0,1.21715,96.5543,0.5,0,9.29441,6.41913,5.4743,-0.328088,2,0.402108,0.402108,1,7.81143
17,2006-01-18,00:00:00.00,0.284034,2.62972,0.867413,0.884304,-0.238724,2.41228,0.884304,0,0,1.22399,96.5293,0.5,0,9.41294,6.54373,5.58056,-0.334297,2,0.264189,0.264189,1,2.86776
18,2006-01-19,00:00:00.00,0.301249,1.15866,1.15866,0.0546088,-2.41426,2.10952,0.0546088,0,0,1.22772,96.5152,0.5,0,9.53586,6.65672,5.62036,-0.337839,2,0.33316,0.33316,1,0.191267
19,2006-01-20,00:00:00.00,0.318463,0,0,-2.66488,-6.38516,0.911915,-2.66488,0,0,1.24003,96.4669,0.5,0,9.66317,6.80546,5.74505,-0.349114,2,0.363747,0.363747,1,-8.52458
20,2006-01-21,00:00:00.00,0.335677,2.70837,0,4.81722,3.27922,7.17274,4.81722,0,0,1.20649,96.5945,0.5,0,9.79485,6.75681,5.70394,-0.317534,2,0.402695,0.402695,1,15.4739
21,2006-01-22,00:00:00.00,0.352891,0,0,4.22625,2.8107,6.66188,4.22625,0,0,1.20913,96.5862,0.5,0,9.93091,6.87876,5.86609,-0.320724,2,0.395258,0.395258,1,13.5359
22,2006-01-23,00:00:00.00,0.370105,6.80181,0,2.93509,1.09021,6.68846,2.93509,0,0,1.21483,96.5635,0.5,0,10.0713,7.01842,5.98536,-0.32589,2,0.454727,0.454727,1,9.40309
23,2006-01-24,00:00:00.00,0.38732,5.1261,0,5.81743,3.92804,7.20206,5.81743,0,0,1.20207,96.6108,0.5,0,10.2161,7.06069,6.02145,-0.312743,2,0.403058,0.403058,1,18.5851
24,2006-01-25,00:00:00.00,0.404534,1.011,0,7.78495,6.40719,9.84676,7.78495,0,0,1.19341,96.6426,0.5,0,10.3652,7.12204,6.07378,-0.302437,2,0.453716,0.453716,1,24.8202
25,2006-01-26,00:00:00.00,0.421748,1.011,0,7.9247,6.50719,10.0245,7.9247,0,0,1.1928,96.6447,0.5,0,10.5186,7.23721,6.17201,-0.301572,2,0.468279,0.468279,1,25.2189
26,2006-01-27,00:00:00.00,0.438962,0,0,5.91424,2.70755,9.11424,5.91424,0,0,1.20164,96.6122,0.5,0,10.6763,7.41821,6.32637,-0.311952,2,0.590863,0.590863,1,18.7911
27,2006-01-28,00:00:00.00,0.456176,0,0,4.69218,0.474022,5.96743,4.69218,0,0,1.20703,96.5922,0.5,0,10.8382,7.57852,6.46308,-0.317825,2,0.525452,0.525452,1,14.8833
28,2006-01-29,00:00:00.00,0.473391,0,0,1.68513,0.995764,3.04441,1.68513,0,0,1.22038,96.5416,0.5,0,11.0044,7.78393,6.63825,-0.330874,2,0.282543,0.282543,1,5.35684
29,2006-01-30,00:00:00.00,0.490605,1.16606,0.145899,1.9583,-1.91867,5.47718,1.9583,0,0,1.21919,96.5472,0.5,0,11.1749,7.91355,6.74879,-0.329902,2,0.550371,0.550371,1,6.19514
30,2006-01-31,00:00:00.00,0.507819,0,0,0.668001,-1.02888,3.18928,0.668001,0,0,1.22494,96.5246,0.5,0,11.3495,8.08168,6.89207,-0.33514,2,0.395679,0.395679,1,2.13082
