time,date,hour,precip [mm/day],KS_53719235 [m3/s]
0,2006-01-01,00:00:00.00,---,0.486143
1,2006-01-02,00:00:00.00,1.62421,0.318796
2,2006-01-03,00:00:00.00,4.65571,0.075815
3,2006-01-04,00:00:00.00,0.0889652,0.00230052
4,2006-01-05,00:00:00.00,0,0.00369051
5,2006-01-06,00:00:00.00,0,0.00229054
6,2006-01-07,00:00:00.00,1.62349,0.002032
7,2006-01-08,00:00:00.00,6.58934,0.00353385
8,2006-01-09,00:00:00.00,12.9321,0.0125262
9,2006-01-10,00:00:00.00,0.0319131,0.0228905
10,2006-01-11,00:00:00.00,2.56231,0.0207542
11,2006-01-12,00:00:00.00,11.964,0.0209539
12,2006-01-13,00:00:00.00,0,0.0272907
13,2006-01-14,00:00:00.00,0,0.0239539
14,2006-01-15,00:00:00.00,0,0.0188274
15,2006-01-16,00:00:00.00,0.0667239,0.0172758
16,2006-01-17,00:00:00.00,6.17315,0.0170771
17,2006-01-18,00:00:00.00,3.49713,0.0197109
18,2006-01-19,00:00:00.00,2.31733,0.0186012
19,2006-01-20,00:00:00.00,0,0.0150898
20,2006-01-21,00:00:00.00,2.70837,0.0147637
21,2006-01-22,00:00:00.00,0,0.0153841
22,2006-01-23,00:00:00.00,6.80181,0.0163119
23,2006-01-24,00:00:00.00,5.1261,0.0195045
24,2006-01-25,00:00:00.00,1.011,0.0212181
25,2006-01-26,00:00:00.00,1.011,0.0184906
26,2006-01-27,00:00:00.00,0,0.0159039
27,2006-01-28,00:00:00.00,0,0.0142399
28,2006-01-29,00:00:00.00,0,0.0123128
29,2006-01-30,00:00:00.00,1.31196,0.0111668
30,2006-01-31,00:00:00.00,0,0.0102387
31,2006-02-01,00:00:00.00,1.61285,0.00914468
32,2006-02-02,00:00:00.00,7.39326,0.0124292
33,2006-02-03,00:00:00.00,3.20019,0.0201277
34,2006-02-04,00:00:00.00,0.542542,0.0218839
35,2006-02-05,00:00:00.00,0.289514,0.0187788
36,2006-02-06,00:00:00.00,0.0779388,0.0171103
37,2006-02-07,00:00:00.00,2.11253,0.0163145
38,2006-02-08,00:00:00.00,7.87875,0.0237175
39,2006-02-09,00:00:00.00,0,0.0348817
40,2006-02-10,00:00:00.00,0.92457,0.0338603
41,2006-02-11,00:00:00.00,0.288359,0.0289474
42,2006-02-12,00:00:00.00,1.3342,0.0288194
43,2006-02-13,00:00:00.00,0,0.0276938
44,2006-02-14,00:00:00.00,0,0.0250965
45,2006-02-15,00:00:00.00,1.68582,0.0234228
46,2006-02-16,00:00:00.00,1.60785,0.0256488
47,2006-02-17,00:00:00.00,0.032879,0.027419
48,2006-02-18,00:00:00.00,1.96758,0.02622
49,2006-02-19,00:00:00.00,0,0.0260685
50,2006-02-20,00:00:00.00,0,0.0240368
51,2006-02-21,00:00:00.00,1.3342,0.021585
52,2006-02-22,00:00:00.00,0.463032,0.0217722
53,2006-02-23,00:00:00.00,0.360814,0.0207948
54,2006-02-24,00:00:00.00,0,0.0186762
55,2006-02-25,00:00:00.00,7.87875,0.0271835
56,2006-02-26,00:00:00.00,0.205296,0.0436939
57,2006-02-27,00:00:00.00,0.652754,0.0442162
58,2006-02-28,00:00:00.00,0.460605,0.0373056
59,2006-03-01,00:00:00.00,2.73606,0.0403891
60,2006-03-02,00:00:00.00,7.87875,0.0604151
61,2006-03-03,00:00:00.00,4.26518,0.099823
62,2006-03-04,00:00:00.00,0.669482,0.119372
63,2006-03-05,00:00:00.00,6.67828,0.137188
64,2006-03-06,00:00:00.00,0,0.172977
65,2006-03-07,00:00:00.00,2.13539,0.163185
66,2006-03-08,00:00:00.00,0.971243,0.146158
67,2006-03-09,00:00:00.00,0,0.150408
68,2006-03-10,00:00:00.00,0,0.125623
69,2006-03-11,00:00:00.00,0,0.0997501
70,2006-03-12,00:00:00.00,0,0.0871597
71,2006-03-13,00:00:00.00,0,0.0755985
72,2006-03-14,00:00:00.00,1.51594,0.0737578
73,2006-03-15,00:00:00.00,0.488937,0.0784877
74,2006-03-16,00:00:00.00,0.0444826,0.072459
75,2006-03-17,00:00:00.00,11.0136,0.087805
76,2006-03-18,00:00:00.00,0.0921578,0.131589
77,2006-03-19,00:00:00.00,0,0.114891
78,2006-03-20,00:00:00.00,2.09999,0.0815906
79,2006-03-21,00:00:00.00,1.06221,0.0918486
80,2006-03-22,00:00:00.00,3.7651,0.100657
81,2006-03-23,00:00:00.00,2.55308,0.123079
82,2006-03-24,00:00:00.00,0.787791,0.129833
83,2006-03-25,00:00:00.00,1.56306,0.107634
84,2006-03-26,00:00:00.00,1.78952,0.106564
85,2006-03-27,00:00:00.00,0,0.106031
86,2006-03-28,00:00:00.00,0,0.0850067
87,2006-03-29,00:00:00.00,2.41032,0.070093
88,2006-03-30,00:00:00.00,0.0167281,0.0748887
89,2006-03-31,00:00:00.00,3.00868,0.0762198
90,2006-04-01,00:00:00.00,0,0.072964
91,2006-04-02,00:00:00.00,0,0.0618161
92,2006-04-03,00:00:00.00,0,0.0433495
93,2006-04-04,00:00:00.00,13.4359,0.0664844
94,2006-04-05,00:00:00.00,0,0.107405
95,2006-04-06,00:00:00.00,0,0.0899164
96,2006-04-07,00:00:00.00,6.63639,0.0779709
97,2006-04-08,00:00:00.00,11.0136,0.159153
98,2006-04-09,00:00:00.00,0,0.215939
99,2006-04-10,00:00:00.00,7.98819,0.185961
100,2006-04-11,00:00:00.00,0,0.183521
