time [d],date,hour,rainfall [mm/day],snowfall [mm/d SWE],Channel Storage [mm],Reservoir Storage [mm],Rivulet Storage [mm],Surface Water [mm],Cum. Losses to Atmosphere [mm],Ponded Water [mm],Soil Water[0] [mm],Soil Water[1] [mm],Soil Water[2] [mm],Snow Melt (Liquid) [mm],Snow [mm],Canopy [mm],Canopy Snow [mm], Total [mm], Cum. Inputs [mm], Cum. Outflow [mm], MB Error [mm]
0,2006-01-01,00:00:00.00,---,---,0.261879,0,0.958248,0,0,0,0.01,0.01,0.01,0,0,0,0,1.25013,0,0,-2.22045e-16
1,2006-01-02,00:00:00.00,1.62421,0,0.114138,0,0.480644,0,0.000680588,1.1476e-18,1.6394,0,0.0110981,0,0,0,0,2.24596,1.62421,0.628385,-5.55112e-15
2,2006-01-03,00:00:00.00,3.33094,1.32477,-0.0297369,0,0.48317,0,0.00321956,-3.35475e-18,5.38748,0,0.0459942,0.0410441,0.821051,0,0,6.75222,6.27992,0.777826,-1.77636e-15
3,2006-01-04,00:00:00.00,0.0444826,0.0444826,-0.0273134,0,0.482035,0,0.00529011,8.59869e-20,5.42198,0,0.0401711,0.0401147,0.874382,0,0,6.83665,6.36889,0.782361,-1.33227e-14
4,2006-01-05,00:00:00.00,0,0,-0.0292544,0,0.481546,0,0.00706594,-4.92881e-36,5.4202,0,0.0353273,0.0191483,0.895348,0,0,6.82938,6.36889,0.789635,-2.57572e-14
5,2006-01-06,00:00:00.00,0,0,-0.0292586,0,0.481213,0,0.00966493,1.41367e-52,5.4176,0,0.0311496,0,0.914496,0,0,6.82487,6.36889,0.79415,-1.68754e-14
6,2006-01-07,00:00:00.00,0.352751,1.27073,-0.0293456,0,0.480953,0,0.0117413,-1.05573e-19,5.76825,0,0.0275126,0,2.18523,0,0,8.44435,7.99237,0.798155,-6.21725e-15
7,2006-01-08,00:00:00.00,4.68048,1.90886,-0.0282227,0,0.485383,0,0.0169182,4.40431e-18,10.9483,0,0.0775528,0.0942671,3.43253,0,0,15.0267,14.5817,0.805121,-4.08562e-14
8,2006-01-09,00:00:00.00,12.9321,0,-0.0197985,0,0.50598,0,0.0411362,-1.42345e-16,27.0991,0,0.298147,0.000456912,0.00913824,0,0,27.9341,27.5138,0.829812,-4.9738e-14
9,2006-01-10,00:00:00.00,0.0319131,0,-0.0191272,0,0.498059,0,0.0676232,6.72791e-19,27.1132,0,0.260897,1.36444e-05,0.000272888,0,0,27.9209,27.5457,0.874932,-7.10543e-15
10,2006-01-11,00:00:00.00,2.56231,0,-0.0237228,0,0.496502,0,0.0876907,3.6831e-18,29.6352,0,0.246506,7.42317e-06,0.000148463,0,0,30.4423,30.108,0.915841,-5.32907e-14
11,2006-01-12,00:00:00.00,11.964,0,-0.0176503,0,0.509121,0,0.131085,2.69209e-17,41.3622,0,0.38032,4.02582e-07,8.05163e-06,0,0,42.365,42.0721,0.957144,3.55271e-14
12,2006-01-13,00:00:00.00,0,0,-0.0182009,0,0.502369,0,0.209391,2.50226e-33,41.2839,0,0.333829,0,0,0,0,42.3112,42.0721,1.01094,-7.81597e-14
13,2006-01-14,00:00:00.00,0,0,-0.0223141,0,0.498981,0,0.288098,1.3339e-50,41.2051,0,0.294115,0,0,0,0,42.264,42.0721,1.05815,-4.9738e-14
14,2006-01-15,00:00:00.00,0,0,-0.0222578,0,0.496434,0,0.373357,4.26376e-68,41.1199,0,0.259494,0,0,0,0,42.2269,42.0721,1.09526,2.13163e-14
15,2006-01-16,00:00:00.00,0.0667239,0,-0.0237961,0,0.494328,0,0.411924,4.90212e-19,41.148,0,0.229086,0,0,0,0,42.2596,42.1388,1.12932,-4.26326e-14
