time [d],date,hour,day_angle, rain [mm/d], snow [mm/d], temp [C], temp_daily_min [C], temp_daily_max [C],temp_daily_ave [C],temp_monthly_min [C],temp_monthly_max [C], air dens. [kg/m3], air pres. [KPa], rel hum. [-], cloud cover [-], ET radiation [MJ/m2/d], SW radiation [MJ/m2/d], net SW radiation [MJ/m2/d], LW radiation [MJ/m2/d], wind vel. [m/s], PET [mm/d], OW PET [mm/d], daily correction [-], potential melt [mm/d]
0,2001-01-01,00:00:00.00,0.0086071,0.9,0,0.8,-8.9,3.4,0.8,0,0,1.2244,96.5294,0.5,0,8.0445,5.47407,4.66831,-0.334864,2,0.48259,0.48259,1,2.62078
1,2001-01-02,00:00:00.00,0.0086071,0.9,0,0.8,-8.9,3.4,0.8,0,0,1.2244,96.5294,0.5,0,8.0445,5.47407,4.66831,-0.334864,2,0.48259,0.48259,1,2.62078
2,2001-01-03,00:00:00.00,0.0258213,0.5,0,2.6,0.3,3.6,2.6,0,0,1.21637,96.5599,0.5,0,8.09709,5.48274,4.67571,-0.327746,2,0.27595,0.27595,1,8.51217
3,2001-01-04,00:00:00.00,0.0430355,0,0,3.9,1.4,7.6,3.9,0,0,1.2106,96.5817,0.5,0,8.15406,5.50176,4.69194,-0.322171,2,0.405176,0.405176,1,12.7595
4,2001-01-05,00:00:00.00,0.0602497,0,0,3.2,-1.7,7.4,3.2,0,0,1.2137,96.57,0.5,0,8.21541,5.56308,4.74423,-0.325218,2,0.478612,0.478612,1,10.4615
5,2001-01-06,00:00:00.00,0.0774639,6.1,0,6,2.4,7.8,6,0,0,1.20133,96.6165,0.5,0,8.28114,5.55563,4.73788,-0.312373,2,0.42119,0.42119,1,19.5996
6,2001-01-07,00:00:00.00,0.0946781,0.5,0,6.8,5.4,10.9,6.8,0,0,1.19781,96.6296,0.5,0,8.35125,5.59144,4.76842,-0.308377,2,0.44308,0.44308,1,22.1938
7,2001-01-08,00:00:00.00,0.111892,0,0,3.9,2.8,6.5,3.9,0,0,1.2106,96.5817,0.5,0,8.42576,5.71227,4.87147,-0.322171,2,0.323433,0.323433,1,12.7171
8,2001-01-09,00:00:00.00,0.129107,0,0,2.4,1.2,4.8,2.4,0,0,1.21726,96.5565,0.5,0,8.50467,5.80348,4.94924,-0.328571,2,0.29976,0.29976,1,7.81831
9,2001-01-10,00:00:00.00,0.146321,0.3,0.3,1.6,-0.9,2.8,1.6,0,0,1.22083,96.543,0.5,0,8.58797,5.8837,5.01765,-0.331785,2,0.294718,0.294718,1,5.20685
10,2001-01-11,00:00:00.00,0.163535,1.7,1.7,0.8,-2.1,3.4,0.8,0,0,1.2244,96.5294,0.5,0,8.67568,5.96708,5.08877,-0.334864,2,0.348026,0.348026,1,2.6006
11,2001-01-12,00:00:00.00,0.180749,0,0,-1.6,-3.6,1.2,-1.6,0,0,1.23524,96.4881,0.5,0,8.76779,6.08087,5.18382,-0.345132,2,0.28618,0.28618,1,-5.19526
12,2001-01-13,00:00:00.00,0.197963,0,0,-2.4,-4.9,-0.4,-2.4,0,0,1.23888,96.4741,0.5,0,8.8643,6.16987,5.25958,-0.348546,2,0.266309,0.266309,1,-7.78357
13,2001-01-14,00:00:00.00,0.215178,0,0,-5.4,-7.6,-2.3,-5.4,0,0,1.25262,96.4212,0.5,0,8.96522,6.29419,5.36556,-0.359931,2,0.235361,0.235361,1,-17.4911
14,2001-01-15,00:00:00.00,0.232392,0,0,-2.3,-6.4,-1.1,-2.3,0,0,1.23842,96.4759,0.5,0,9.07055,6.3312,5.3971,-0.348128,2,0.297658,0.297658,1,-7.44016
15,2001-01-16,00:00:00.00,0.249606,0,0,-3.7,-5.2,-0.6,-3.7,0,0,1.24481,96.4513,0.5,0,9.18028,6.44015,5.48997,-0.35375,2,0.25531,0.25531,1,-11.9526
16,2001-01-17,00:00:00.00,0.26682,0,0,-4.8,-10.2,-0.3,-4.8,0,0,1.24986,96.4319,0.5,0,9.29441,6.54723,5.58125,-0.357829,2,0.34962,0.34962,1,-15.4841
17,2001-01-18,00:00:00.00,0.284034,0,0,-2.8,-5.4,0.3,-2.8,0,0,1.2407,96.4671,0.5,0,9.41294,6.61044,5.63512,-0.350192,2,0.310004,0.310004,1,-9.01908
18,2001-01-19,00:00:00.00,0.301249,-6.66134e-16,1.5,-3.4,-9.6,-0.3,-3.4,0,0,1.24344,96.4566,0.5,0,9.53586,6.71771,5.72656,-0.352586,2,0.385104,0.385104,1,-10.935
19,2001-01-20,00:00:00.00,0.318463,0,0,-2.8,-6.2,3.2,-2.8,0,0,1.2407,96.4671,0.5,0,9.66317,6.80904,5.65377,-0.350192,2,0.408685,0.408685,1,-8.99103
20,2001-01-21,00:00:00.00,0.335677,0,0,-1.9,-4.6,1.1,-1.9,0,0,1.2366,96.4829,0.5,0,9.79485,6.89818,5.72781,-0.346431,2,0.341937,0.341937,1,-6.09106
21,2001-01-22,00:00:00.00,0.352891,0,0,-1,-3.2,1.2,-1,0,0,1.23252,96.4985,0.5,0,9.93091,6.98983,5.80392,-0.342464,2,0.321839,0.321839,1,-3.20039
22,2001-01-23,00:00:00.00,0.370105,0,0,0.2,-2.4,1.4,0.2,0,0,1.22709,96.5191,0.5,0,10.0713,7.07797,5.87713,-0.337085,2,0.324986,0.324986,1,0.638961
23,2001-01-24,00:00:00.00,0.38732,0.6,0.6,1.2,-0.4,2,1.2,0,0,1.22261,96.5362,0.5,0,10.2161,7.17197,5.9552,-0.333341,2,0.27654,0.27654,1,3.82686
24,2001-01-25,00:00:00.00,0.404534,5.8,0,3.6,0.9,5.8,3.6,0,0,1.21193,96.5767,0.5,0,10.3652,7.23547,6.1698,-0.32349,2,0.451546,0.451546,1,11.4593
