

"Pegelkennziffer","Pegelname","Datum","Wasserstand","Durchfluss","Flussgebiet"
"551000","Kreischa","01.01.2000","12","0,14","Nebenflüsse der Elbe"
"551000","Kreischa","02.01.2000","15","0,23","Nebenflüsse der Elbe"
"551000","Kreischa","03.01.2000","17","0,29","Nebenflüsse der Elbe"
"551000","Kreischa","04.01.2000","20","0,41","Nebenflüsse der Elbe"
"551000","Kreischa","05.01.2000","23","0,55","Nebenflüsse der Elbe"
"551000","Kreischa","06.01.2000","21","0,46","Nebenflüsse der Elbe"
"551000","Kreischa","07.01.2000","20","0,41","Nebenflüsse der Elbe"
"551000","Kreischa","08.01.2000","20","0,41","Nebenflüsse der Elbe"
"551000","Kreischa","09.01.2000","20","0,41","Nebenflüsse der Elbe"
"551000","Kreischa","10.01.2000","20","0,41","Nebenflüsse der Elbe"
"551000","Kreischa","11.01.2000","20","0,41","Nebenflüsse der Elbe"
"551000","Kreischa","12.01.2000","19","0,37","Nebenflüsse der Elbe"
"551000","Kreischa","13.01.2000","17","0,29","Nebenflüsse der Elbe"
"551000","Kreischa","14.01.2000","18","0,33","Nebenflüsse der Elbe"
"551000","Kreischa","15.01.2000","18","0,33","Nebenflüsse der Elbe"
"551000","Kreischa","16.01.2000","17","0,29","Nebenflüsse der Elbe"
"551000","Kreischa","17.01.2000","20","0,41","Nebenflüsse der Elbe"
"551000","Kreischa","18.01.2000","25","0,66","Nebenflüsse der Elbe"
"551000","Kreischa","19.01.2000","22","0,50","Nebenflüsse der Elbe"
"551000","Kreischa","20.01.2000","21","0,46","Nebenflüsse der Elbe"
"551000","Kreischa","21.01.2000","21","0,46","Nebenflüsse der Elbe"
"551000","Kreischa","22.01.2000","21","0,46","Nebenflüsse der Elbe"
"551000","Kreischa","23.01.2000","19","0,37","Nebenflüsse der Elbe"
"551000","Kreischa","24.01.2000","19","0,29","Nebenflüsse der Elbe"
"551000","Kreischa","25.01.2000","19","0,33","Nebenflüsse der Elbe"
"551000","Kreischa","26.01.2000","19","0,33","Nebenflüsse der Elbe"
"551000","Kreischa","27.01.2000","19","0,37","Nebenflüsse der Elbe"
"551000","Kreischa","28.01.2000","18","0,33","Nebenflüsse der Elbe"
"551000","Kreischa","29.01.2000","23","0,55","Nebenflüsse der Elbe"
"551000","Kreischa","30.01.2000","39","1,66","Nebenflüsse der Elbe"
"551000","Kreischa","31.01.2000","40","1,75","Nebenflüsse der Elbe"
"551000","Kreischa","01.02.2000","42","1,94","Nebenflüsse der Elbe"
"551000","Kreischa","02.02.2000","36","1,41","Nebenflüsse der Elbe"
"551000","Kreischa","03.02.2000","31","1,03","Nebenflüsse der Elbe"
"551000","Kreischa","04.02.2000","29","0,90","Nebenflüsse der Elbe"
"551000","Kreischa","05.02.2000","27","0,77","Nebenflüsse der Elbe"
"551000","Kreischa","06.02.2000","25","0,66","Nebenflüsse der Elbe"
"551000","Kreischa","07.02.2000","24","0,60","Nebenflüsse der Elbe"
"551000","Kreischa","08.02.2000","23","0,55","Nebenflüsse der Elbe"
"551000","Kreischa","09.02.2000","23","0,55","Nebenflüsse der Elbe"
"551000","Kreischa","10.02.2000","23","0,55","Nebenflüsse der Elbe"
"551000","Kreischa","11.02.2000","22","0,50","Nebenflüsse der Elbe"
"551000","Kreischa","12.02.2000","21","0,46","Nebenflüsse der Elbe"
"551000","Kreischa","13.02.2000","21","0,46","Nebenflüsse der Elbe"
"551000","Kreischa","14.02.2000","21","0,46","Nebenflüsse der Elbe"
"551000","Kreischa","15.02.2000","21","0,46","Nebenflüsse der Elbe"
"551000","Kreischa","16.02.2000","24","0,60","Nebenflüsse der Elbe"
"551000","Kreischa","17.02.2000","24","0,60","Nebenflüsse der Elbe"
"551000","Kreischa","18.02.2000","23","0,55","Nebenflüsse der Elbe"
"551000","Kreischa","19.02.2000","23","0,55","Nebenflüsse der Elbe"
"551000","Kreischa","20.02.2000","24","0,60","Nebenflüsse der Elbe"
"551000","Kreischa","21.02.2000","23","0,55","Nebenflüsse der Elbe"
"551000","Kreischa","22.02.2000","22","0,50","Nebenflüsse der Elbe"
"551000","Kreischa","23.02.2000","22","0,50","Nebenflüsse der Elbe"
"551000","Kreischa","24.02.2000","23","0,55","Nebenflüsse der Elbe"
"551000","Kreischa","25.02.2000","29","0,90","Nebenflüsse der Elbe"
"551000","Kreischa","26.02.2000","31","1,03","Nebenflüsse der Elbe"
"551000","Kreischa","27.02.2000","30","0,96","Nebenflüsse der Elbe"
"551000","Kreischa","28.02.2000","28","0,83","Nebenflüsse der Elbe"
"551000","Kreischa","29.02.2000","27","0,77","Nebenflüsse der Elbe"
"551000","Kreischa","01.03.2000","26","0,71","Nebenflüsse der Elbe"
"551000","Kreischa","02.03.2000","26","0,71","Nebenflüsse der Elbe"
"551000","Kreischa","03.03.2000","25","0,66","Nebenflüsse der Elbe"
"551000","Kreischa","04.03.2000","25","0,66","Nebenflüsse der Elbe"
"551000","Kreischa","05.03.2000","24","0,60","Nebenflüsse der Elbe"
"551000","Kreischa","06.03.2000","24","0,60","Nebenflüsse der Elbe"
"551000","Kreischa","07.03.2000","26","0,71","Nebenflüsse der Elbe"
"551000","Kreischa","08.03.2000","26","0,71","Nebenflüsse der Elbe"
"551000","Kreischa","09.03.2000","35","1,33","Nebenflüsse der Elbe"
"551000","Kreischa","10.03.2000","45","2,24","Nebenflüsse der Elbe"
"551000","Kreischa","11.03.2000","44","2,14","Nebenflüsse der Elbe"
"551000","Kreischa","12.03.2000","42","1,94","Nebenflüsse der Elbe"
"551000","Kreischa","13.03.2000","40","1,75","Nebenflüsse der Elbe"
"551000","Kreischa","14.03.2000","37","1,49","Nebenflüsse der Elbe"
"551000","Kreischa","15.03.2000","40","1,75","Nebenflüsse der Elbe"
"551000","Kreischa","16.03.2000","40","1,75","Nebenflüsse der Elbe"
"551000","Kreischa","17.03.2000","50","2,73","Nebenflüsse der Elbe"
"551000","Kreischa","18.03.2000","46","2,35","Nebenflüsse der Elbe"
"551000","Kreischa","19.03.2000","42","1,94","Nebenflüsse der Elbe"
"551000","Kreischa","20.03.2000","36","1,41","Nebenflüsse der Elbe"
"551000","Kreischa","21.03.2000","34","1,25","Nebenflüsse der Elbe"
"551000","Kreischa","22.03.2000","32","1,10","Nebenflüsse der Elbe"
"551000","Kreischa","23.03.2000","29","0,90","Nebenflüsse der Elbe"
"551000","Kreischa","24.03.2000","28","0,83","Nebenflüsse der Elbe"
"551000","Kreischa","25.03.2000","27","0,77","Nebenflüsse der Elbe"
"551000","Kreischa","26.03.2000","27","0,77","Nebenflüsse der Elbe"
"551000","Kreischa","27.03.2000","46","2,35","Nebenflüsse der Elbe"
"551000","Kreischa","28.03.2000","48","2,56","Nebenflüsse der Elbe"
"551000","Kreischa","29.03.2000","47","2,45","Nebenflüsse der Elbe"
"551000","Kreischa","30.03.2000","48","2,56","Nebenflüsse der Elbe"
"551000","Kreischa","31.03.2000","48","2,56","Nebenflüsse der Elbe"
"551000","Kreischa","01.04.2000","44","2,14","Nebenflüsse der Elbe"
"551000","Kreischa","02.04.2000","39","1,66","Nebenflüsse der Elbe"
"551000","Kreischa","03.04.2000","35","1,33","Nebenflüsse der Elbe"
"551000","Kreischa","04.04.2000","31","1,03","Nebenflüsse der Elbe"
"551000","Kreischa","05.04.2000","28","0,83","Nebenflüsse der Elbe"
"551000","Kreischa","06.04.2000","26","0,71","Nebenflüsse der Elbe"
"551000","Kreischa","07.04.2000","24","0,60","Nebenflüsse der Elbe"
"551000","Kreischa","08.04.2000","24","0,60","Nebenflüsse der Elbe"
"551000","Kreischa","09.04.2000","23","0,55","Nebenflüsse der Elbe"
"551000","Kreischa","10.04.2000","22","0,50","Nebenflüsse der Elbe"
"551000","Kreischa","11.04.2000","21","0,46","Nebenflüsse der Elbe"
"551000","Kreischa","12.04.2000","21","0,46","Nebenflüsse der Elbe"
"551000","Kreischa","13.04.2000","20","0,41","Nebenflüsse der Elbe"
"551000","Kreischa","14.04.2000","19","0,37","Nebenflüsse der Elbe"
"551000","Kreischa","15.04.2000","21","0,46","Nebenflüsse der Elbe"
"551000","Kreischa","16.04.2000","23","0,55","Nebenflüsse der Elbe"
"551000","Kreischa","17.04.2000","21","0,46","Nebenflüsse der Elbe"
"551000","Kreischa","18.04.2000","20","0,41","Nebenflüsse der Elbe"
"551000","Kreischa","19.04.2000","19","0,37","Nebenflüsse der Elbe"
"551000","Kreischa","20.04.2000","19","0,37","Nebenflüsse der Elbe"
"551000","Kreischa","21.04.2000","18","0,33","Nebenflüsse der Elbe"
"551000","Kreischa","22.04.2000","18","0,33","Nebenflüsse der Elbe"
"551000","Kreischa","23.04.2000","17","0,29","Nebenflüsse der Elbe"
"551000","Kreischa","24.04.2000","17","0,29","Nebenflüsse der Elbe"
"551000","Kreischa","25.04.2000","17","0,29","Nebenflüsse der Elbe"
"551000","Kreischa","26.04.2000","16","0,26","Nebenflüsse der Elbe"
"551000","Kreischa","27.04.2000","15","0,23","Nebenflüsse der Elbe"
