Run   obj.function   Kal_POROSITY  Kal_FIELD_CAPACITY  Kal_SAT_WILT  Kal_HBV_BETA  Kal_MAX_CAP_RISE_RATE  Kal_MAX_PERC_RATE  Kal_BASEFLOW_COEFF  Kal_BASEFLOW_N  Kal_SAI_HT_RATIO  Kal_MAX_CAPACITY  Kal_MAX_SNOW_CAPACITY  Kal_RAIN_ICEPT_FACT  Kal_SNOW_ICEPT_FACT  Kal_RAIN_ICEPT_PCT  Kal_SNOW_ICEPT_PCT  Kal_MELT_FACTOR  Kal_MIN_MELT_FACTOR  Kal_HBV_MELT_FOR_CORR  Kal_REFREEZE_FACTOR  Kal_HBV_MELT_ASP_CORR  
1     1.393107E+03  1.480411E-01  7.877418E-01  2.036622E-01  3.486283E+00  1.808685E+00  1.346395E+02  3.762161E-01  3.333895E+00  4.522762E-02  2.637925E+00  1.890836E+00  4.885725E-03  3.278914E-03  8.272022E-01  4.252545E-01  1.486632E+00  3.081390E+00  9.680824E-01  7.133291E-01  6.724984E-01  
2     4.860837E+37  7.735522E-01  3.626554E-01  3.832547E-01  7.857843E-01  8.711445E-01  8.804990E+02  2.192247E-01  9.718584E+00  7.920700E-01  1.150302E-02  5.330935E-01  7.263533E-03  5.167287E-03  3.807900E-01  2.018673E-01  1.153431E+00  2.530380E+00  7.828465E-01  4.129274E-01  7.741580E-01  
3     1.282494E+05  4.654395E-01  4.403224E-02  9.357777E-01  7.765503E+00  4.355011E+00  3.617563E+02  2.636332E-01  6.955043E+00  3.173919E-01  2.929795E+00  4.209967E-02  3.794831E-03  3.357185E-03  3.969363E-01  2.379776E-01  1.513360E+00  2.054457E+00  7.234961E-01  4.821273E-01  5.342431E-01  
4     1.446184E+33  4.676943E-01  6.592552E-01  9.217454E-01  2.515145E+00  2.015874E-01  1.238612E+02  4.050611E-01  5.997838E+00  7.006960E-01  2.452236E+00  3.452345E-01  3.789488E-03  5.442969E-03  5.236947E-02  9.335567E-01  1.731719E+00  2.326456E+00  5.968167E-01  3.936032E-01  8.578245E-01  
5     2.026561E+06  2.396010E-01  4.072848E-01  8.884418E-01  5.138461E+00  4.019340E+00  1.266736E+02  2.810318E-02  1.729516E+00  5.826216E-01  1.527729E+00  4.535217E-01  3.212025E-03  2.675294E-03  7.438466E-02  2.942570E-01  1.208949E+00  1.894784E+00  8.423706E-01  7.637357E-01  9.402602E-01  
6     4.431735E+02  5.130714E-01  8.783274E-01  5.727507E-02  3.771437E+00  4.652859E+00  9.908134E+02  1.095824E-01  4.094075E+00  1.890217E-01  1.506565E+00  2.229724E-01  4.814498E-03  5.637156E-03  9.623339E-01  8.759438E-01  1.713118E+00  1.679866E+00  9.428888E-01  7.935867E-01  8.296329E-01  
7     1.512565E+03  4.304830E-01  9.442260E-01  7.146950E-01  5.819689E+00  9.422105E-02  8.970928E+00  7.902943E-01  2.944360E+00  7.072701E-01  1.665310E+00  3.443618E-01  4.120123E-03  3.736903E-03  1.715763E-01  6.009038E-01  1.364784E+00  1.823463E+00  8.478539E-01  7.081528E-01  6.715637E-01  
8     1.793490E+03  2.696768E-01  7.820449E-01  7.126036E-01  1.214728E+00  3.729607E+00  5.897273E+02  8.338336E-01  8.522232E+00  4.935944E-01  1.885776E+00  1.525555E+00  7.533426E-03  4.295175E-03  2.242018E-01  4.886352E-01  1.592442E+00  1.965238E+00  6.369493E-01  8.078648E-01  9.607492E-01  
9     1.064385E+03  7.677029E-01  9.221661E-01  1.650005E-01  2.689276E+00  4.705573E-01  7.654354E+02  6.333710E-01  3.300956E+00  4.753905E-01  1.026940E+00  1.817164E+00  6.437186E-03  2.499273E-03  3.191837E-01  8.082044E-01  1.870689E+00  3.317096E+00  8.152291E-01  7.060794E-01  6.970436E-01  
10    5.007116E+02  4.037006E-01  8.210317E-01  1.810504E-01  4.846113E+00  3.988796E+00  8.511072E+02  1.184980E-01  5.147796E+00  1.650879E-01  9.881078E-01  4.546538E-01  4.445745E-03  5.725857E-03  7.926388E-01  9.046830E-01  1.779185E+00  1.648567E+00  8.647386E-01  6.875843E-01  6.171489E-01  
11    3.725376E+02  7.214499E-01  9.440639E-01  2.669891E-01  5.129639E+00  3.839765E+00  8.103820E+02  1.095824E-01  1.491986E+00  9.945385E-03  1.178228E+00  5.049073E-01  5.408196E-03  4.872729E-03  7.071916E-01  5.675101E-01  1.906798E+00  1.763839E+00  9.170258E-01  9.800985E-01  8.296329E-01  
12    3.409987E+02  5.006944E-01  8.449358E-01  5.682522E-03  3.114336E+00  3.839765E+00  9.613838E+02  9.794423E-03  1.394240E+00  2.598388E-01  3.389558E-01  1.653354E-02  6.631763E-03  5.409989E-03  4.847780E-01  5.322490E-01  1.906798E+00  2.266813E+00  9.170258E-01  8.107809E-01  8.447900E-01  
13    4.224276E+02  5.072523E-01  8.449358E-01  1.336933E-01  4.478455E+00  3.839765E+00  9.696213E+02  1.086207E-01  1.394240E+00  2.598388E-01  5.650740E-01  1.813869E+00  7.811253E-03  5.313805E-03  4.847780E-01  4.361895E-01  1.882651E+00  2.153985E+00  7.937968E-01  8.625221E-01  7.454141E-01  
14    3.034571E+02  6.048051E-01  7.428946E-01  2.475019E-02  3.114336E+00  3.839765E+00  7.305365E+02  1.404672E-02  2.309058E+00  2.598388E-01  5.982713E-01  1.653354E-02  7.398227E-03  5.409989E-03  4.480102E-01  5.322490E-01  1.952255E+00  2.890582E+00  8.686564E-01  6.316946E-01  8.308856E-01  
15    3.007493E+02  7.866595E-01  8.435048E-01  4.042421E-02  3.263636E+00  2.714073E+00  3.592690E+02  1.404672E-02  2.309058E+00  2.598388E-01  5.982713E-01  6.658384E-02  6.981473E-03  5.143365E-03  6.886609E-01  5.381488E-01  1.952255E+00  2.525195E+00  9.789190E-01  4.474815E-01  7.786151E-01  
16    2.928366E+02  7.866595E-01  8.114629E-01  1.929975E-01  3.263636E+00  2.888016E+00  4.870167E+02  1.404672E-02  1.808044E+00  6.033862E-01  9.316390E-02  5.765284E-01  6.174316E-03  4.623684E-03  6.119709E-01  7.795868E-01  1.952255E+00  2.864320E+00  9.789190E-01  4.474815E-01  8.078882E-01  
17    5.324189E+02  8.101038E-01  8.911001E-01  1.720108E-01  1.947628E-01  2.302206E+00  4.870167E+02  3.389249E-02  2.586660E+00  7.196265E-01  9.316390E-02  1.523047E+00  5.924281E-03  4.754506E-03  6.119709E-01  9.225230E-01  1.952255E+00  2.827454E+00  8.788469E-01  2.830926E-01  6.715182E-01  
18    2.451172E+02  7.866595E-01  6.687238E-01  1.929975E-01  3.263636E+00  2.888016E+00  5.812957E+02  1.129886E-01  1.808044E+00  6.033862E-01  7.667237E-01  5.765284E-01  4.998565E-03  5.518361E-03  6.479324E-01  6.881025E-01  1.952255E+00  2.864320E+00  9.789190E-01  6.169823E-01  9.428231E-01  
19    4.087568E+02  7.866595E-01  9.765723E-01  1.929975E-01  3.263636E+00  2.468648E+00  5.812957E+02  1.836341E-01  2.753370E+00  6.033862E-01  7.667237E-01  5.765284E-01  4.998565E-03  4.648099E-03  3.205558E-01  5.382183E-01  1.952255E+00  3.073468E+00  7.434875E-01  4.214476E-01  9.741057E-01  
20    4.114333E+02  8.145920E-01  5.494517E-01  1.821515E-01  3.560169E-01  1.753954E+00  6.139881E+02  1.107455E-01  1.808044E+00  8.514478E-01  7.667237E-01  7.068780E-01  4.921246E-03  5.797277E-03  7.394731E-01  7.460835E-01  1.844488E+00  2.864320E+00  9.789190E-01  8.094011E-01  9.428231E-01  
21    3.826266E+02  7.866595E-01  6.687238E-01  1.222775E-01  2.942425E+00  1.969815E+00  5.812957E+02  2.367023E-01  2.942970E+00  4.467516E-01  5.441856E-01  1.829426E+00  5.071211E-03  5.590204E-03  6.479324E-01  6.904177E-01  1.907490E+00  3.254402E+00  9.789190E-01  6.169823E-01  9.428231E-01  
22    2.516313E+02  8.020545E-01  4.123084E-01  1.929975E-01  3.446416E+00  3.898449E+00  5.812957E+02  1.129886E-01  1.745462E+00  9.713017E-01  6.867267E-01  1.011814E+00  4.998565E-03  5.513607E-03  6.479324E-01  4.453910E-01  1.870440E+00  3.135283E+00  7.990102E-01  6.169823E-01  7.996426E-01  
23    3.545722E+02  7.853573E-01  6.619069E-01  2.213065E-02  1.239920E+00  1.450221E+00  8.873551E+02  1.472804E-01  4.095446E+00  4.818199E-01  7.667237E-01  5.765284E-01  4.998565E-03  5.891722E-03  5.311389E-01  9.402700E-01  1.952255E+00  3.014026E+00  8.736346E-01  3.138931E-01  9.124928E-01  
24    2.904102E+02  7.866595E-01  6.687238E-01  3.223009E-01  3.263636E+00  2.888016E+00  5.812957E+02  1.514324E-02  2.451458E+00  6.033862E-01  7.667237E-01  3.110215E-01  4.998565E-03  5.518361E-03  6.479324E-01  7.270022E-01  1.765460E+00  2.870539E+00  9.457712E-01  5.738782E-01  9.434909E-01  
25    2.223585E+02  8.055480E-01  5.442527E-01  2.081462E-01  4.227702E+00  2.888016E+00  3.525756E+02  1.129886E-01  4.109258E+00  6.033862E-01  7.667237E-01  1.041497E+00  4.998565E-03  5.055489E-03  5.428160E-01  9.298829E-01  1.885002E+00  3.235666E+00  9.419080E-01  6.337510E-01  9.114170E-01  
26    2.164250E+02  8.055480E-01  5.442527E-01  2.081462E-01  4.227702E+00  2.363090E+00  4.112557E+02  1.129886E-01  1.119599E+00  6.033862E-01  1.123663E+00  1.364277E+00  4.998565E-03  5.054969E-03  5.428160E-01  7.158719E-01  1.885002E+00  3.487523E+00  9.338981E-01  9.591659E-01  9.299270E-01  
