time,date,hour,precip [mm/day],KS_53719235 [m3/s]
0,2001-01-01,00:00:00.00,---,0.486143
1,2001-01-02,00:00:00.00,0.9,0.318325
2,2001-01-03,00:00:00.00,0.5,0.0752539
3,2001-01-04,00:00:00.00,0,4.78022e-06
4,2001-01-05,00:00:00.00,0,8.31869e-06
5,2001-01-06,00:00:00.00,6.1,0.00111098
6,2001-01-07,00:00:00.00,0.5,0.00283876
7,2001-01-08,00:00:00.00,0,0.00301467
8,2001-01-09,00:00:00.00,0,0.00257774
9,2001-01-10,00:00:00.00,0.6,0.0024836
10,2001-01-11,00:00:00.00,3.4,0.00268957
11,2001-01-12,00:00:00.00,0,0.00321131
12,2001-01-13,00:00:00.00,0,0.00312412
13,2001-01-14,00:00:00.00,0,0.00279623
14,2001-01-15,00:00:00.00,0,0.00263352
15,2001-01-16,00:00:00.00,0,0.00240779
16,2001-01-17,00:00:00.00,0,0.00223635
17,2001-01-18,00:00:00.00,0,0.00206254
18,2001-01-19,00:00:00.00,1.5,0.00190566
19,2001-01-20,00:00:00.00,0,0.00176272
20,2001-01-21,00:00:00.00,0,0.00162627
21,2001-01-22,00:00:00.00,0,0.00150509
22,2001-01-23,00:00:00.00,0,0.00139074
23,2001-01-24,00:00:00.00,1.2,0.00137694
24,2001-01-25,00:00:00.00,5.8,0.00246293
25,2001-01-26,00:00:00.00,2.8,0.00447575
26,2001-01-27,00:00:00.00,0,0.00525944
27,2001-01-28,00:00:00.00,0,0.00485263
28,2001-01-29,00:00:00.00,0,0.00448
29,2001-01-30,00:00:00.00,0,0.00414714
30,2001-01-31,00:00:00.00,4.7,0.00382398
31,2001-02-01,00:00:00.00,2.4,0.0035401
32,2001-02-02,00:00:00.00,9.8,0.00326593
33,2001-02-03,00:00:00.00,5.7,0.00302123
34,2001-02-04,00:00:00.00,7,0.00278939
35,2001-02-05,00:00:00.00,9,0.00257862
36,2001-02-06,00:00:00.00,1.8,0.0512124
37,2001-02-07,00:00:00.00,0,0.190145
