time [d],date,hour,rainfall [mm/day],snowfall [mm/d SWE],Channel Storage [mm],Reservoir Storage [mm],Rivulet Storage [mm],Surface Water [mm],Cum. Losses to Atmosphere [mm],Ponded Water [mm],Soil Water[0] [mm],Soil Water[1] [mm],Soil Water[2] [mm],Snow Melt (Liquid) [mm],Snow [mm],Canopy [mm],Canopy Snow [mm], Total [mm], Cum. Inputs [mm], Cum. Outflow [mm], MB Error [mm]
0,2001-01-01,00:00:00.00,---,---,0.261879,0,0.958248,0,0,0,0,0,0,0,0,0,0,1.22013,0,0,0
1,2001-01-02,00:00:00.00,0.9,0,0.113554,0,0.479132,0,0.482363,-5.54526e-19,0.417416,0,0.000204367,0,0,0,0,1.49267,0.9,0.627458,-2.10942e-15
2,2001-01-03,00:00:00.00,0.5,0,-0.0347647,0,0.479132,0,0.769506,1.37794e-18,0.630273,0,0.000188834,0,0,0,0,1.84433,1.4,0.775793,-1.9984e-15
3,2001-01-04,00:00:00.00,0,0,-0.0347592,0,0.479131,0,1.11394,7.06004e-35,0.285838,0,0.000174482,0,0,0,0,1.84433,1.4,0.775802,-3.55271e-15
4,2001-01-05,00:00:00.00,0,0,-0.0347618,0,0.479131,0,1.32015,3.71281e-51,0.0796314,0,0.00016122,0,0,0,0,1.84431,1.4,0.775818,-7.32747e-15
5,2001-01-06,00:00:00.00,6.1,0,-0.0338143,0,0.482255,0,1.74455,9.89377e-18,5.67301,0,0.0761226,0,0,0,0,7.94212,7.5,0.778008,-1.77636e-15
6,2001-01-07,00:00:00.00,0.5,0,-0.0333862,0,0.482017,0,2.18961,-1.6822e-18,5.72794,0,0.0703369,0,0,0,0,8.43652,8,0.783604,3.19744e-14
7,2001-01-08,00:00:00.00,0,0,-0.0337627,0,0.481797,0,2.51291,2.69186e-37,5.40464,0,0.064991,0,0,0,0,8.43058,8,0.789546,1.77636e-15
8,2001-01-09,00:00:00.00,0,0,-0.033701,0,0.481594,0,2.81249,-6.79991e-52,5.10507,0,0.0600514,0,0,0,0,8.4255,8,0.794627,-3.55271e-15
9,2001-01-10,00:00:00.00,0.3,0.3,-0.0338437,0,0.481407,0,3.1708,-7.84131e-19,5.34673,0,0.0555102,0,0,0,0,9.0206,8.6,0.799523,7.99361e-15
10,2001-01-11,00:00:00.00,1.7,1.7,-0.0335199,0,0.482466,0,3.58567,-1.07041e-17,8.2994,0,0.0812635,1.05113e-06,2.10226e-05,0,0,12.4153,12,0.804824,4.26326e-14
11,2001-01-12,00:00:00.00,0,0,-0.0334194,0,0.482212,0,3.87181,2.9588e-36,8.01326,0,0.0750871,1.03034e-08,2.20635e-05,0,0,12.409,12,0.811154,8.88178e-15
12,2001-01-13,00:00:00.00,0,0,-0.0336358,0,0.481977,0,4.13801,-3.53729e-52,7.74706,0,0.0693802,0,2.20738e-05,0,0,12.4028,12,0.817312,-1.06581e-14
13,2001-01-14,00:00:00.00,0,0,-0.0336574,0,0.48176,0,4.37322,1.25972e-68,7.51185,0,0.064107,0,2.20738e-05,0,0,12.3973,12,0.822824,5.32907e-15
14,2001-01-15,00:00:00.00,0,0,-0.0337756,0,0.48156,0,4.67068,-2.36759e-84,7.21439,0,0.0592346,0,2.20738e-05,0,0,12.3921,12,0.828015,2.84217e-14
15,2001-01-16,00:00:00.00,0,0,-0.0338344,0,0.481375,0,4.92582,-2.77522e-101,6.95925,0,0.0547325,0,2.20738e-05,0,0,12.3874,12,0.832761,-1.59872e-14
16,2001-01-17,00:00:00.00,0,0,-0.0339115,0,0.481204,0,5.27511,-1.65554e-117,6.60996,0,0.0505726,0,2.20738e-05,0,0,12.383,12,0.837169,3.55271e-15
17,2001-01-18,00:00:00.00,0,0,-0.0339752,0,0.481046,0,5.5847,1.5913e-134,6.30038,0,0.0467288,0,2.20738e-05,0,0,12.3789,12,0.841234,-7.10543e-15
18,2001-01-19,00:00:00.00,0,1.5,-0.0340339,0,0.4809,0,5.96379,-2.30771e-151,5.99691,0,0.0431773,0,1.42439,0,0,13.8751,13.5,0.844991,3.90799e-14
19,2001-01-20,00:00:00.00,0,0,-0.0340918,0,0.480765,0,6.36114,5.30924e-168,5.59956,0,0.0398956,0,1.42439,0,0,13.8717,13.5,0.848465,-1.59872e-14
20,2001-01-21,00:00:00.00,0,0,-0.0341404,0,0.48064,0,6.69164,1.25934e-184,5.26906,0,0.0368634,0,1.42439,0,0,13.8685,13.5,0.851671,-1.42109e-14
21,2001-01-22,00:00:00.00,0,0,-0.0341901,0,0.480525,0,7.00066,-1.04426e-200,4.96004,0,0.0340616,0,1.42439,0,0,13.8655,13.5,0.854637,8.88178e-15
22,2001-01-23,00:00:00.00,0,0,-0.03423,0,0.480424,0,7.31819,-3.03723e-18,5.2874,0,0.0316227,0.0371118,0.742235,0,0,13.8627,13.5,0.857379,4.26326e-14
23,2001-01-24,00:00:00.00,0.6,0.6,-0.0341995,0,0.480568,0,7.6777,-1.15843e-17,6.90085,0,0.0351103,1.81847e-07,3.63693e-06,0,0,15.06,14.7,0.860093,0
24,2001-01-25,00:00:00.00,5.8,0,-0.0332998,0,0.483434,0,8.13104,-5.21331e-18,12.1692,0,0.104806,0,0,0,0,20.8552,20.5,0.864948,2.84217e-14
25,2001-01-26,00:00:00.00,2.8,0,-0.0325196,0,0.484416,0,8.66976,5.29331e-18,14.396,0,0.128671,0,0,0,0,23.6464,23.3,0.87377,6.39488e-14
26,2001-01-27,00:00:00.00,0,0,-0.0327048,0,0.484014,0,9.21647,2.64944e-34,13.8493,0,0.118891,0,0,0,0,23.636,23.3,0.884137,6.75016e-14
27,2001-01-28,00:00:00.00,0,0,-0.0328621,0,0.483642,0,9.59649,-7.29472e-52,13.4693,0,0.109855,0,0,0,0,23.6264,23.3,0.893702,1.77636e-14
28,2001-01-29,00:00:00.00,0,0,-0.0329999,0,0.483299,0,10.1108,-1.66412e-67,12.955,0,0.101506,0,0,0,0,23.6176,23.3,0.902533,9.59233e-14
29,2001-01-30,00:00:00.00,0,0,-0.0331422,0,0.482981,0,10.3957,-1.98307e-84,12.6701,0,0.0937907,0,0,0,0,23.6094,23.3,0.910707,3.55271e-14
30,2001-01-31,00:00:00.00,0,4.7,-0.0332581,0,0.482688,0,10.6373,1.81177e-101,12.5041,0,0.0866622,0,4.62437,0,0,28.3019,28,0.918245,1.06581e-14
31,2001-02-01,00:00:00.00,0,2.4,-0.0333785,0,0.482417,0,10.8521,1.87725e-118,12.3649,0,0.0800755,0,6.94875,0,0,30.6949,30.4,0.925223,8.88178e-14
32,2001-02-02,00:00:00.00,0,9.8,-0.0334797,0,0.482167,0,11.1369,1.63808e-134,12.1558,0,0.0739894,0,16.6731,0,0,40.4885,40.2,0.93166,8.52651e-14
33,2001-02-03,00:00:00.00,0,5.7,-0.0335801,0,0.481936,0,11.4775,2.33608e-150,11.8908,0,0.0683659,0,22.2975,0,0,46.1825,45.9,0.937615,1.06581e-13
34,2001-02-04,00:00:00.00,0,7,-0.0336685,0,0.481722,0,11.7706,-8.48961e-167,11.6733,0,0.0631698,0,29.2219,0,0,53.177,52.9,0.943114,7.10543e-14
35,2001-02-05,00:00:00.00,0,9,-0.0337526,0,0.481524,0,12.1254,-2.85722e-185,11.3941,0,0.0583686,0,38.1462,0,0,62.1719,61.9,0.948196,1.42109e-14
36,2001-02-06,00:00:00.00,1.8,0,0.0212568,0,0.632679,0,12.9422,-7.97043e-17,29.4135,4.11698e-05,3.68278,0.818022,16.3604,0,0,63.871,63.7,1.04914,3.55271e-14
37,2001-02-07,00:00:00.00,0,0,0.108986,0,0.788096,0,13.7701,1.38742e-17,41.3166,0.000219388,7.51131,4.35274e-05,0.000870547,0,0,63.4962,63.7,1.42394,7.10543e-15
38,2001-02-08,00:00:00.00,0,0,0.1161,0,0.764604,0,14.6877,2.57254e-21,40.3992,0,6.94125,0,0,0,0,62.9088,63.7,2.01128,7.81597e-14
39,2001-02-09,00:00:00.00,0,0,0.0944723,0,0.742906,0,15.3921,-2.93807e-37,39.6948,0,6.41369,0,0,0,0,62.338,63.7,2.58217,1.35003e-13
40,2001-02-10,00:00:00.00,1,0,0.0912935,0,0.725762,0,16.1744,4.39317e-19,39.8361,0,5.99683,0,0,0,0,62.8244,64.7,3.09577,-9.9476e-14
41,2001-02-11,00:00:00.00,0,0,0.0797001,0,0.707016,0,16.7324,-6.80559e-36,39.278,0,5.54105,0,0,0,0,62.3382,64.7,3.58189,7.81597e-14
42,2001-02-12,00:00:00.00,0,0,0.0718356,0,0.689696,0,18.0092,-3.45999e-52,38.0013,0,5.11991,0,0,0,0,61.8919,64.7,4.02822,7.10543e-14
43,2001-02-13,00:00:00.00,2.6,0,0.0654098,0,0.678449,0,18.9277,-8.45772e-19,39.5576,0,4.84644,0,0,0,0,64.0756,67.3,4.44454,1.42109e-14
44,2001-02-14,00:00:00.00,0,0,0.058872,0,0.663299,0,19.6635,1.09175e-34,38.8218,0,4.47809,0,0,0,0,63.6855,67.3,4.83458,1.06581e-13
45,2001-02-15,00:00:00.00,0,0,0.0513706,0,0.649301,0,20.3063,1.17927e-51,38.179,0,4.13774,0,0,0,0,63.3237,67.3,5.19644,1.56319e-13
46,2001-02-16,00:00:00.00,0,0,0.0448673,0,0.636367,0,21.2403,-4.3805e-68,37.2449,0,3.82325,0,0,0,0,62.9898,67.3,5.53036,-9.23706e-14
47,2001-02-17,00:00:00.00,0,0,0.0389175,0,0.624416,0,22.3822,-1.18024e-84,36.1031,0,3.53267,0,0,0,0,62.6813,67.3,5.83884,-2.84217e-14
48,2001-02-18,00:00:00.00,0.138554,1.66145,0.033173,0,0.613377,0,22.8442,-1.34042e-19,35.8552,0,3.26427,0,1.58582,0,0,64.196,69.1,6.12413,7.81597e-14
49,2001-02-19,00:00:00.00,0.8,0.8,0.0293674,0,0.606408,0,23.3834,2.82564e-18,38.4162,0,3.09483,2.2789e-05,0.00045578,0,0,65.5307,70.7,6.38948,8.52651e-14
50,2001-02-20,00:00:00.00,1.2,0,0.0258212,0,0.59846,0,23.9075,1.33132e-20,39.0471,0,2.90158,0,0,0,0,66.4805,71.9,6.63964,1.42109e-13
51,2001-02-21,00:00:00.00,1.2,0,0.0223522,0,0.591838,0,24.4641,1.80878e-19,39.6261,0,2.74056,0,0,0,0,67.445,73.1,6.87516,7.10543e-14
