Run   obj.function   Kal_POROSITY  Kal_FIELD_CAPACITY  Kal_SAT_WILT  Kal_HBV_BETA  Kal_MAX_CAP_RISE_RATE  Kal_MAX_PERC_RATE  Kal_BASEFLOW_COEFF  Kal_BASEFLOW_N  Kal_SAI_HT_RATIO  Kal_MAX_CAPACITY  Kal_MAX_SNOW_CAPACITY  Kal_RAIN_ICEPT_FACT  Kal_SNOW_ICEPT_FACT  Kal_RAIN_ICEPT_PCT  Kal_SNOW_ICEPT_PCT  Kal_MELT_FACTOR  Kal_MIN_MELT_FACTOR  Kal_HBV_MELT_FOR_CORR  Kal_REFREEZE_FACTOR  Kal_HBV_MELT_ASP_CORR  
1     2.995047E+02  4.973200E-01  1.177700E-01  0.000000E+00  5.756900E-01  1.121600E+00  0.000000E+00  5.000000E-02  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  5.000000E-02  5.000000E-02  3.133900E+00  1.303600E+00  1.000000E+00  1.000000E+00  6.583600E-01  
2     2.994655E+02  4.977200E-01  1.177700E-01  0.000000E+00  5.756900E-01  1.121600E+00  0.000000E+00  5.000000E-02  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  5.000000E-02  5.000000E-02  3.133900E+00  1.303600E+00  1.000000E+00  1.000000E+00  6.583600E-01  
3     2.995438E+02  4.969200E-01  1.177700E-01  0.000000E+00  5.756900E-01  1.121600E+00  0.000000E+00  5.000000E-02  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  5.000000E-02  5.000000E-02  3.133900E+00  1.303600E+00  1.000000E+00  1.000000E+00  6.583600E-01  
4     3.136723E+02  4.973200E-01  1.182690E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
5     3.136378E+02  4.973200E-01  1.172710E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
6     3.136210E+02  4.973200E-01  1.177700E-01  1.998000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
7     3.134309E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.806895E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
8     3.138832E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.706905E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
9     3.136100E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.124099E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
10    3.137002E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.119101E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
11    3.161750E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000999E+00  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
12    3.145053E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.049900E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
13    3.128107E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  4.950100E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
14    3.168212E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.009000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
15    3.142819E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.998000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
16    3.136551E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.996002E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
17    3.136550E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.996002E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
18    3.136550E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  7.995000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
19    3.136550E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  5.996000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
20    3.136138E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.049900E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
21    3.136961E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  4.950100E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
22    3.135198E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.049900E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
23    3.137904E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  4.950100E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
24    3.136748E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  1.999000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
25    3.135138E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.502000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
