Run   obj.function   Kal_POROSITY  Kal_FIELD_CAPACITY  Kal_SAT_WILT  Kal_HBV_BETA  Kal_MAX_CAP_RISE_RATE  Kal_MAX_PERC_RATE  Kal_BASEFLOW_COEFF  Kal_BASEFLOW_N  Kal_SAI_HT_RATIO  Kal_MAX_CAPACITY  Kal_MAX_SNOW_CAPACITY  Kal_RAIN_ICEPT_FACT  Kal_SNOW_ICEPT_FACT  Kal_RAIN_ICEPT_PCT  Kal_SNOW_ICEPT_PCT  Kal_MELT_FACTOR  Kal_MIN_MELT_FACTOR  Kal_HBV_MELT_FOR_CORR  Kal_REFREEZE_FACTOR  Kal_HBV_MELT_ASP_CORR  
1     2.995047E+02  4.973200E-01  1.177700E-01  0.000000E+00  5.756900E-01  1.121600E+00  0.000000E+00  5.000000E-02  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  5.000000E-02  5.000000E-02  3.133900E+00  1.303600E+00  1.000000E+00  1.000000E+00  6.583600E-01  
2     2.994266E+02  4.981200E-01  1.177700E-01  0.000000E+00  5.756900E-01  1.121600E+00  0.000000E+00  5.000000E-02  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  5.000000E-02  5.000000E-02  3.133900E+00  1.303600E+00  1.000000E+00  1.000000E+00  6.583600E-01  
3     4.072843E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.575590E+00  8.590144E-01  6.734205E-01  1.082566E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.264466E+00  1.003600E+00  9.000000E-01  1.000000E+00  7.583600E-01  
4     4.114976E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.575590E+00  8.293155E-01  6.772999E-01  1.105231E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.271305E+00  1.003600E+00  9.000000E-01  1.000000E+00  7.583600E-01  
5     4.030137E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.575590E+00  8.881646E-01  6.688656E-01  1.059509E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.257608E+00  1.003600E+00  9.000000E-01  1.000000E+00  7.583600E-01  
6     2.990068E+02  4.981200E-01  1.177700E-01  0.000000E+00  5.856890E-01  1.121600E+00  0.000000E+00  5.000000E-02  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  5.000000E-02  5.000000E-02  3.133900E+00  1.303600E+00  1.000000E+00  1.000000E+00  6.583600E-01  
7     4.005258E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.585589E+00  8.645771E-01  6.868422E-01  1.089211E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.333900E+00  1.038603E+00  9.000000E-01  1.000000E+00  7.583600E-01  
8     4.043500E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.585589E+00  8.354349E-01  6.904484E-01  1.111350E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.333900E+00  1.040754E+00  9.000000E-01  1.000000E+00  7.583600E-01  
9     3.964467E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.585589E+00  8.932689E-01  6.825806E-01  1.066631E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.333900E+00  1.037456E+00  9.000000E-01  1.000000E+00  7.583600E-01  
10    2.986011E+02  4.981200E-01  1.177700E-01  0.000000E+00  5.956880E-01  1.121600E+00  0.000000E+00  5.000000E-02  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  5.000000E-02  5.000000E-02  3.133900E+00  1.303600E+00  1.000000E+00  1.000000E+00  6.583600E-01  
11    4.121207E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.595588E+00  8.438404E-01  6.850595E-01  1.128995E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.319758E+00  1.017070E+00  9.000000E-01  1.000000E+00  7.583600E-01  
12    4.157942E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.595588E+00  8.146059E-01  6.879412E-01  1.150635E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.330488E+00  1.018395E+00  9.000000E-01  1.000000E+00  7.583600E-01  
13    4.081825E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.595588E+00  8.727944E-01  6.815985E-01  1.106822E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.309304E+00  1.016613E+00  9.000000E-01  1.000000E+00  7.583600E-01  
14    2.982099E+02  4.981200E-01  1.177700E-01  0.000000E+00  6.056870E-01  1.121600E+00  0.000000E+00  5.000000E-02  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  5.000000E-02  5.000000E-02  3.133900E+00  1.303600E+00  1.000000E+00  1.000000E+00  6.583600E-01  
15    4.048278E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.605587E+00  8.490657E-01  6.945946E-01  1.140760E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.333900E+00  1.067325E+00  9.000000E-01  1.000000E+00  7.583600E-01  
16    4.079304E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.605587E+00  8.197634E-01  6.973237E-01  1.162439E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.333900E+00  1.072945E+00  9.000000E-01  1.000000E+00  7.583600E-01  
17    4.014136E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.605587E+00  8.781110E-01  6.912983E-01  1.118517E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.333900E+00  1.062895E+00  9.000000E-01  1.000000E+00  7.583600E-01  
18    2.978316E+02  4.981200E-01  1.177700E-01  0.000000E+00  6.156860E-01  1.121600E+00  0.000000E+00  5.000000E-02  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  5.000000E-02  5.000000E-02  3.133900E+00  1.303600E+00  1.000000E+00  1.000000E+00  6.583600E-01  
19    4.164389E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.615586E+00  8.467052E-01  6.948122E-01  1.163628E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.317210E+00  1.027987E+00  9.000000E-01  1.000000E+00  7.583600E-01  
20    4.199482E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.615586E+00  8.174935E-01  6.972157E-01  1.185069E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.326583E+00  1.030217E+00  9.000000E-01  1.000000E+00  7.583600E-01  
21    4.126692E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.615586E+00  8.757302E-01  6.918753E-01  1.141572E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.307945E+00  1.026587E+00  9.000000E-01  1.000000E+00  7.583600E-01  
22    2.974653E+02  4.981200E-01  1.177700E-01  0.000000E+00  6.256850E-01  1.121600E+00  0.000000E+00  5.000000E-02  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  5.000000E-02  5.000000E-02  3.133900E+00  1.303600E+00  1.000000E+00  1.000000E+00  6.583600E-01  
23    4.169234E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.625585E+00  8.468861E-01  6.937149E-01  1.192379E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.333900E+00  1.052583E+00  9.000000E-01  1.000000E+00  7.583600E-01  
24    4.197215E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.625585E+00  8.185035E-01  6.957755E-01  1.213062E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.333900E+00  1.058869E+00  9.000000E-01  1.000000E+00  7.583600E-01  
25    4.137765E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.625585E+00  8.751960E-01  6.911742E-01  1.171030E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.333900E+00  1.047441E+00  9.000000E-01  1.000000E+00  7.583600E-01  
26    2.971105E+02  4.981200E-01  1.177700E-01  0.000000E+00  6.356840E-01  1.121600E+00  0.000000E+00  5.000000E-02  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  5.000000E-02  5.000000E-02  3.133900E+00  1.303600E+00  1.000000E+00  1.000000E+00  6.583600E-01  
27    4.150505E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.635584E+00  8.380946E-01  7.002326E-01  1.204353E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.333900E+00  1.074508E+00  9.000000E-01  1.000000E+00  7.583600E-01  
