Run   obj.function   Kal_POROSITY  Kal_FIELD_CAPACITY  Kal_SAT_WILT  Kal_HBV_BETA  Kal_MAX_CAP_RISE_RATE  Kal_MAX_PERC_RATE  Kal_BASEFLOW_COEFF  Kal_BASEFLOW_N  
1     1.530605E+02  2.026964E-01  5.090418E-01  6.714163E-01  7.971502E+00  3.007529E+02  2.404486E+02  5.613065E-02  8.687811E+00  
2     1.530605E+02  4.685499E-01  6.419761E-01  5.440565E-01  2.264031E+00  1.337864E+02  4.224121E+02  4.528952E-01  5.279862E+00  
3     1.530605E+02  7.259842E-01  4.151528E-01  5.179318E-01  4.215734E+00  2.368153E+02  9.095384E+01  9.577908E-01  9.242280E+00  
4     1.530605E+02  3.662705E-01  9.376281E-01  6.788817E-01  3.933769E+00  1.146901E+02  3.110624E+02  3.139770E-01  5.773442E+00  
5     1.530605E+02  8.200973E-01  9.853933E-01  3.275327E-01  6.793912E+00  7.904203E+01  3.836695E+02  5.335924E-01  7.249458E+00  
6     1.530605E+02  2.998540E-01  8.539776E-01  1.859906E-01  9.059149E+00  5.643021E+01  4.285728E+02  5.845416E-01  5.210628E+00  
7     1.530605E+02  2.998540E-01  8.539776E-01  1.859906E-01  9.591944E+00  5.643021E+01  3.513469E+01  5.557877E-01  5.210628E+00  
8     1.530605E+02  2.998540E-01  8.539776E-01  1.859906E-01  9.344127E+00  5.643021E+01  9.233764E+01  5.557877E-01  6.334168E+00  
9     1.530605E+02  2.998540E-01  8.539776E-01  1.859906E-01  9.344127E+00  5.643021E+01  9.233764E+01  5.557877E-01  7.309169E+00  
10    1.530605E+02  2.998540E-01  8.539776E-01  1.859906E-01  9.344127E+00  5.643021E+01  9.233764E+01  5.557877E-01  7.309169E+00  
